IdAluno;Bimestre;Resultado;1>;1>2>;1>46>;1>46>2>;13>;14>;14>14>;14>14>14>;14>14>2>;14>14>41>;14>2>;14>2>14>;14>2>2>;14>3>;14>3>2>;14>31>;14>31>14>;14>31>30>;14>31>30>14>;14>31>30>30>;14>31>30>30>30>;14>31>31>;14>32>;14>32>31>;14>41>;14>41>2>;14>41>31>;14>41>41>;14>41>41>41>;14>41>41>41>41>;14>41>41>41>41>41>;14>41>41>41>41>41>41>;14>43>;14>43>44>;14>43>44>44>;14>48>;14>49>;14>7>;14>7>5>;14>7>5>5>;14>8>;16>;16>31>;17>;17>30>;2>;2>1>;2>1>46>;2>1>46>2>;2>14>;2>14>2>;2>14>41>;2>2>;2>3>;2>41>;2>46>;2>46>1>;2>46>1>2>;29>;3>;3>14>;3>2>;30>;30>14>;30>14>31>;30>14>41>;30>30>;30>30>14>;30>30>30>;30>30>30>30>;30>30>30>30>30>;30>31>;30>31>30>;30>41>;30>48>;31>;31>14>;31>14>31>;31>14>41>;31>30>;31>30>14>;31>30>30>;31>30>30>30>;31>30>30>30>30>;31>30>31>;31>30>31>30>;31>31>;31>31>30>;31>41>;31>48>;32>;32>14>;32>31>;32>31>30>;41>;41>14>;41>2>;41>31>;41>31>30>;41>41>;41>41>2>;41>41>31>;41>41>41>;41>41>41>41>;41>41>41>41>41>;41>41>41>41>41>41>;41>41>41>41>41>41>41>;41>41>41>41>41>41>41>41>;41>41>43>;41>41>43>44>;41>43>;41>43>44>;41>43>44>44>;42>;43>;43>44>;43>44>14>;43>44>44>;43>44>44>44>;43>44>44>44>44>;43>44>44>44>44>44>;44>;44>14>;44>14>41>;44>44>;44>44>14>;44>44>14>41>;44>44>44>;44>44>44>14>;44>44>44>44>;44>44>44>44>44>;45>;45>43>;46>;46>1>;46>1>2>;46>2>;48>;48>14>;48>29>;48>48>;49>;49>48>;49>49>;5>;5>5>;6>;6>6>;6>6>6>;6>6>6>6>;7>;7>14>;7>5>;7>5>5>;7>6>;8>;8>7>;Total Geral
37663-5490;20120202;insucesso;;;;;;5;;;;;;;;;;1;;;;;;;;;1;;1;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;2;;;;3;;;;1;;1;;;;;;;4;;;;1;;1;1;;;;1;1;;2;3;1;;;3;;;1;;1;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;2;2;;;;;;;;;;;;;;;;;45
38021-5489;20120202;SUCESSO;2;;2;2;;16;5;;;2;1;;;2;2;2;;;;;;;;;5;;;2;;;;;1;1;;;;2;1;;;;;;;6;1;1;1;2;;;;;;;;;;2;1;2;;;;;;;;;;;;;;3;;;;;;;;;;;;;;2;;;;;26;1;;2;;4;;;1;;;;;;;;1;1;;;4;3;;;;;;11;2;;3;2;;;;;;1;;2;;;2;4;2;;;1;;;1;;;;;;2;2;1;;;;;148
38165-5384;20120202;insucesso;;;;;;8;2;;;;1;1;;1;1;2;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;2;;;;1;;;;;;;;;;1;;1;1;;;;1;;1;;;;;;;2;;;;;;;;;;;;;;1;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1;;;;;;;;;;2;1;;;;;;35
38975-5384;20120202;SUCESSO;2;;2;1;;61;1;;;;4;1;;1;;2;;1;;;;;;;12;;;4;;;;;;;;;;3;;;;;;;;14;2;2;1;3;;1;;;2;;;;;2;1;;3;;;;;;;;;;;;;3;;;;2;;;;;;;;;;;;;;;52;;1;;;16;;;7;3;3;1;;;1;;1;1;1;;6;4;;4;3;1;;10;1;1;10;1;;5;1;3;2;1;;2;;;1;;;;;1;;1;;;2;;;;6;1;;;1;;;286
38994-5384;20120202;insucesso;2;;2;;;32;4;;1;;4;2;2;;;7;2;2;;1;;;;;7;;1;2;;;;;1;1;;1;;2;;;;1;1;;;8;1;1;;3;2;1;3;3;1;;;;2;3;1;2;5;1;;;1;;1;;;3;1;;2;10;6;1;4;5;1;1;1;;2;;2;1;;2;3;2;2;;10;;1;1;1;3;1;;;;;;;;;;1;;;;2;1;1;;;;;1;1;;;;;;;;;;;2;1;;;5;1;2;;1;;;;;22;13;6;;3;1;;;2;1;;250
39065-5384;20120202;insucesso;1;;1;1;;9;2;;;1;3;1;1;1;;1;;1;;1;;;;;2;;;1;1;;;;;;;;;;;;;;;;;8;1;1;1;2;;;3;1;;;;;1;2;;1;3;;;;2;;1;1;;;;;1;4;;;;2;;2;1;;;;;;1;1;2;1;;;8;1;1;1;1;3;;1;3;2;1;1;;;;;;;;;1;;;;;;;;;;;;;;;;;;;1;;;1;2;1;1;;1;1;;;;1;1;;;3;;;;1;;;109
39095-5384;20120202;insucesso;2;;2;1;;61;2;;1;;14;5;;4;;6;;5;;;;;;;12;;1;1;;;;;1;1;;;;;;;;;;;;21;2;2;1;10;3;1;;1;;;;;;6;1;2;9;4;;1;1;;1;;;5;4;;;13;4;;;9;3;1;1;;5;4;;;;;;;;;23;;;3;3;8;;2;5;3;1;;;;2;1;4;3;1;;6;5;1;2;;;;7;3;2;2;1;1;;;;;;;2;;;1;1;;;;;;;;;;;;;;;;;;;;327
39398-5490;20120202;insucesso;;;;;;9;2;;;1;1;;;2;1;;;;;;;;;;2;;;1;1;1;1;;;;;1;;;;;;;;;;4;;;;1;;;;1;2;;;;1;3;1;2;1;;;;1;;1;;;1;;;;3;;;;1;;1;1;;;;;;2;2;2;;2;;8;;;2;1;5;;2;5;3;1;;;;;;;;;3;2;1;;1;1;;;1;;;1;;;1;;;;2;2;;;;;4;1;1;1;1;1;1;;;;;;;;;;;;;;108
39676-6030;20130101;SUCESSO;2;1;1;;;87;2;;;;11;2;;6;1;20;;11;3;3;;1;;;16;;;13;7;4;3;;3;3;1;1;;3;2;2;;3;2;11;10;20;;;;4;;;1;;1;;;;;7;;2;35;11;4;1;14;4;6;1;;7;3;;2;40;5;;1;24;4;9;3;;1;1;7;2;3;2;4;;3;2;66;2;2;8;4;30;;5;14;5;4;1;1;;5;;9;8;5;;22;16;;8;5;2;;35;8;4;18;6;;11;5;7;4;7;;2;1;1;;10;1;;;;;;10;8;7;1;;;19;1;8;7;2;4;;878
39904-6030;20130101;insucesso;4;4;1;1;;129;25;;1;;10;3;;11;4;6;1;1;;;;;12;9;21;;1;9;5;2;2;2;;;;7;12;;;;5;;;;;18;1;1;1;10;1;2;3;5;;3;3;3;1;16;11;7;20;8;;1;1;;;;;5;4;;;24;8;1;3;14;4;;;;4;3;1;;1;;20;6;15;11;38;4;1;4;1;20;;2;13;8;4;3;;;3;3;3;3;2;3;4;4;;3;3;2;2;4;3;1;3;3;1;3;3;2;2;;;4;4;4;1;23;11;;3;16;11;1;1;1;31;2;1;;9;5;1;1;2;9;7;834
40067-7114;20130202;insucesso;2;;2;2;;20;1;;1;;4;2;;;;;;;;;;;;;7;;;1;;;;;1;1;1;;;;;;;;;;;11;1;1;1;3;1;1;1;;2;;;;;;;;1;;;;;;;;;;;1;;1;;;;1;;;;;;;;;;;;;;;26;1;2;;;5;1;;2;;;;;;;;1;1;1;;4;4;;4;3;2;1;9;1;1;9;1;1;4;1;3;2;;;2;;;2;;;;;;;;;;;;;;1;;;;;;;166
40086-6590;20130201;SUCESSO;2;2;;;;32;;;;;4;;;;;6;;3;;3;2;3;;;4;1;;;;;;;;;;;;6;2;2;;1;1;;;10;;;;;;;;;;2;2;2;;;;;16;4;2;;11;3;5;2;2;1;1;1;1;13;;;;11;;9;4;2;;;4;3;;;;;;;18;;1;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;;1;;;;;;;4;4;15;1;;;17;7;3;3;;;;269
40093-6590;20130201;SUCESSO;2;;1;;;57;2;;;1;3;1;;;;2;;2;1;;;;;;17;;;5;1;;;;3;3;1;;;1;1;1;;;;;;5;1;1;;1;;;;;;;;;;;;;7;5;;;;;;;;4;2;;;9;3;;1;7;5;;;;4;2;;;;;;;;;54;;;4;3;12;;1;2;1;1;1;;;;;1;;;;5;3;;1;1;1;;6;3;2;1;;;1;;1;;;;2;1;;;;;;;;;;1;1;;;;;1;;1;1;;;;275
40101-6590;20130201;SUCESSO;2;2;;;;140;11;;;2;5;1;;;;29;1;20;2;5;3;5;;;13;;;1;;;;;;;;;12;2;;;;1;1;2;2;13;;;;2;;1;;;1;2;2;2;;;;;40;6;2;2;10;2;5;2;;5;2;3;1;48;1;;1;31;2;9;4;1;3;1;9;3;3;;;;;;27;;1;3;1;4;;1;1;;;;;;;;1;1;;;2;2;;1;;;;5;1;;2;;;;;;;;;2;2;2;;13;1;;;14;11;10;3;3;34;16;8;3;6;;3;3;3;;;671
40116-6030;20130101;SUCESSO;2;1;1;1;;114;3;;;2;12;2;;;;7;;4;;1;;;;;18;1;;8;4;1;;;3;3;;2;1;3;;;;1;1;;;17;1;1;1;3;;;;;;;;;;;;;7;1;1;;2;1;1;1;1;1;1;;1;11;;;;6;;2;1;1;1;1;2;2;;1;;;;;28;4;1;;;11;;;5;2;;;;;;;3;;;;6;3;;;;;;7;1;;2;1;;1;1;1;1;;;2;1;1;1;10;1;;;2;2;;;;19;2;;;7;;;;4;;;395
40165-5799;20130101;insucesso;2;1;1;1;;72;7;3;;2;3;;1;2;1;7;1;;;;;;2;1;19;;2;4;1;;;;1;;;4;2;3;1;;;1;1;;;12;1;1;1;1;;;4;1;2;1;1;1;3;8;;5;12;1;;;3;;2;;;3;1;1;;26;4;;2;5;;1;1;;1;;4;1;4;7;7;1;4;;77;;3;4;;26;1;1;14;6;1;1;1;1;4;2;6;3;1;1;11;8;;5;1;;;15;3;;8;2;;2;;;;3;1;2;1;1;1;17;3;2;3;6;4;5;8;6;15;9;4;;11;1;6;6;;;;602
40197-7114;20130202;insucesso;1;;1;;;83;18;4;7;1;28;3;4;;;6;1;4;;;;;;;15;;1;6;1;;;;2;2;2;;;2;2;;;1;1;;;39;1;1;;5;;2;5;;2;;;;4;;;;9;3;;;2;;;;;1;1;;1;10;2;1;1;7;3;;;;1;1;;;1;;1;;;;51;1;1;2;1;20;;1;6;1;;;;;;;;;;;2;2;;2;2;2;1;3;2;1;3;2;1;2;1;2;1;;;1;;;;6;;4;;;;;4;;1;;;;3;;3;;;;;435
40217-6030;20130101;insucesso;2;1;;;;27;5;2;2;1;7;1;1;;;1;;;;;;;;;11;;;4;1;;;;1;1;1;2;;1;;;;1;1;;;14;;;;5;1;2;2;1;1;;;;;1;;1;;;;;;;;;;;;;;2;1;;1;;;;;;;;;;;;;;;;21;;1;1;;7;;;4;1;;;;;1;1;2;1;1;;5;4;;3;3;3;2;6;1;1;5;1;1;5;1;4;2;1;;2;2;1;;3;3;;1;;;;;;1;1;;;2;1;;;1;;;213
40277-6590;20130201;insucesso;;;;;;12;;;;;;;;;;;;;;;;;;;4;;;3;3;3;1;1;1;1;1;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7;;;;;4;;;3;3;1;1;1;1;1;;1;;;;3;2;;2;2;1;;2;;;2;;;2;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;71
40309-6590;20130201;SUCESSO;3;2;1;1;;67;1;;;;9;;;;;13;;7;;3;;3;;;12;2;;4;3;2;2;;9;9;8;;;1;1;1;;1;1;3;3;21;1;1;1;;;;2;;5;2;2;2;;;;;21;4;1;;7;1;1;1;;2;;5;3;30;;;;18;1;5;1;1;2;;4;2;7;1;;;;;66;1;3;10;5;22;;4;12;8;5;2;2;;1;;3;3;3;;14;14;;11;4;1;;15;2;;11;1;;4;;1;1;1;;3;2;2;1;5;;;;;;;1;1;12;2;2;;3;;1;1;1;;;594
40389-6895;20130201;SUCESSO;1;1;1;;;26;;;;;;;;;;;;;;;;;;;13;;;8;1;1;1;;;;;;;1;1;1;;;;;;6;;;;1;;;;;;;;;;;;;4;;;;1;;;;;;;;;8;;;;3;;1;;;;;1;;1;;1;;;;50;;1;;;16;;;4;2;1;;;;;;;;;;1;1;;;;;;6;;;;;;;;;;1;;1;1;1;;;;;;;;;11;10;;;;;7;;6;6;;1;;210
40720-7297;20130202;insucesso;2;;2;;;24;4;1;1;2;3;;;;;1;;1;;;;;;;7;;;3;2;1;1;1;;;;;;1;1;;;;;;;9;1;1;;1;;1;;;1;;;;2;;;;4;1;;;1;;;;;;;;1;5;1;;;4;1;;;;;;;;;;;;;;23;;;2;1;11;;;5;3;2;2;1;1;;;1;1;;1;2;2;1;1;1;1;;2;1;;1;;;1;;1;;;;2;;;;2;;2;;;;;1;1;;;;;1;;1;1;;;;171
40755-7114;20130202;SUCESSO;2;;2;2;;38;5;;;2;10;2;;;;2;;2;;;;;;;12;1;;3;1;1;1;;3;3;2;1;;3;;;;1;1;;;22;1;1;1;2;;;;;1;;;;;;;;7;;;;1;;;;;;;4;;10;2;;1;7;;1;;;;;;;;;;;;;27;;2;2;1;7;;1;4;1;1;;;;;;2;1;;;7;6;;2;2;2;;7;2;1;3;1;;3;1;2;2;;;2;;;2;2;;;;;;;1;1;41;22;12;8;7;;1;1;3;;;354
40838-7114;20130202;insucesso;1;1;;;;16;;;;;5;;;;;1;;1;;1;;;;;3;;;1;;;;;;;;;;;;;;;;;;14;;;;;;;;;5;;;;;;;;6;2;;1;4;;;;;;;1;1;7;;;;4;;4;;;;;1;1;1;1;1;;1;;13;;4;2;1;4;2;1;1;1;;;;;1;1;1;1;;;1;1;;;;;;1;;;;;;;;;;;;1;1;1;;1;;;;;;;;;;;;;1;;;;;;;126
40950-6030;20130101;insucesso;4;2;2;2;;67;12;2;1;;3;2;1;8;3;4;1;1;;1;;;6;5;6;;;;;;;;3;2;;5;1;;;;4;3;3;;;19;;;;3;1;;2;1;;;;;9;25;4;6;60;6;;1;15;;5;4;;9;5;1;6;40;4;1;;31;1;10;4;;4;2;6;5;;;20;1;17;13;26;2;;;;4;;;;;;;;;;;;;;1;5;5;;1;1;;;13;2;;4;2;;3;2;1;1;1;1;4;2;2;2;12;2;8;1;3;1;;1;;2;1;;;5;1;1;;2;5;3;628
40983-6030;20130101;insucesso;1;;1;1;;50;2;1;1;;8;2;1;1;1;8;;4;;1;;;1;1;8;;;1;1;1;1;1;;;;;;1;1;;1;2;2;;;19;;;;4;;2;2;;2;;;;7;2;;1;16;2;;;5;;;;;3;3;3;1;14;1;1;;8;1;1;;;3;3;;;2;3;1;;1;1;28;1;2;1;1;14;1;1;4;4;3;3;3;2;3;3;3;3;1;2;7;5;;1;1;1;1;14;1;1;3;1;1;3;1;1;1;3;2;1;;;1;8;;7;1;1;;;5;2;6;2;;;4;;4;2;;1;1;394
40989-7114;20130202;insucesso;;;;;;11;1;1;;1;;;;;;;;;;;;;;;4;;;2;2;1;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;;1;;;3;1;;2;1;;;;;1;1;2;1;1;;2;1;;1;;;;1;1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;53
41058-6590;20130201;SUCESSO;2;1;1;1;1;91;5;;;2;1;;;12;3;15;;6;;2;;4;;;24;;;12;7;3;3;;4;2;1;2;;2;2;1;;5;5;4;4;12;1;1;1;5;;2;;;;;;;;18;4;6;30;9;2;1;9;1;1;;;2;1;3;3;44;4;;1;25;5;8;1;;1;1;10;5;4;3;5;;4;2;92;;1;9;5;41;;6;19;7;7;2;2;;;;4;4;2;;17;11;;5;3;2;;29;5;5;12;3;;5;;2;1;4;;2;1;1;1;15;3;;;2;2;1;4;2;;;;;3;;3;2;;1;;811
41125-7114;20130202;SUCESSO;2;2;;;;30;2;;;2;8;1;;;;4;;3;;;;;;;11;;;3;2;1;1;;;;;;;;;;;2;2;2;2;13;;;;4;;1;3;;2;1;1;1;;1;1;;14;;;;1;;;;;2;;2;1;14;1;;;12;;1;;;1;;;;1;;;;;;26;1;2;5;5;7;;1;3;2;1;1;1;;1;;4;3;;;4;3;;;;;;3;;;;;;;;;;;;2;2;2;;1;1;;;;;;1;1;;;;;3;;1;1;;;;246
41128-6030;20130101;insucesso;1;1;;;;49;5;;1;2;4;2;;1;;4;;1;;;;;;;13;;1;5;3;2;1;1;3;2;1;1;;2;;;;;;;;10;;;;3;;1;;;;1;1;1;4;1;1;;10;1;;1;1;;;;;1;;;;11;1;;;4;1;1;;;;;2;1;2;1;1;1;;;36;1;4;2;1;16;1;1;6;5;4;3;2;2;1;;4;2;1;2;14;10;2;6;4;2;1;19;6;3;9;1;;6;;3;2;3;3;1;1;1;;7;1;4;;1;;1;;;;;;;8;1;;;;1;1;385
41138-6030;20130101;insucesso;1;1;;;;33;2;;1;1;8;;;;;2;;;;;;;;;8;;;3;2;2;1;;;;;;;2;2;;1;;;;;12;;;;1;1;;;;1;1;1;1;;;;;4;;;;1;;;;;1;;;;7;2;1;;2;;1;;;;;1;1;;;;;;;24;;;;;11;;;7;5;2;1;;;3;1;7;4;2;;9;6;;4;2;;;17;1;;8;;;3;;1;1;;;1;1;1;;1;;;;;;;11;8;;;;;10;;9;6;;1;;277
41179-7114;20130202;insucesso;1;1;;;;46;15;4;1;6;6;1;;1;1;1;;;;;;;;;19;;3;8;3;2;1;1;;;;1;1;4;1;;;;;;;11;;;;2;;1;;;;;;;;1;;1;7;2;;;5;;2;1;;1;;;;10;1;;;6;;5;2;;;;;;2;;;;;;25;6;2;5;4;10;1;2;3;2;1;1;;;;;;;;;2;2;;2;1;1;1;2;1;;2;1;;1;;1;1;;;1;1;1;;2;1;;1;1;1;;2;2;3;2;;;5;;2;2;;;;295
41258-6590;20130201;SUCESSO;2;1;1;1;;22;1;;;;1;;;;;3;1;1;;;;;;;8;;;4;2;2;;;2;2;2;;2;;;;;;;;;5;1;1;1;;;;2;;1;1;1;1;;;;;7;;;;4;;2;1;;;;1;;10;1;;;7;;4;2;1;;;1;1;1;;;;;;31;1;1;2;;10;;;6;4;2;2;1;;;;;;;;3;3;;2;;;;8;2;;2;1;;;;;;;;2;1;1;1;1;;;;3;1;;1;1;;;;;2;;1;1;;;;212
41292-6895;20130201;insucesso;;;;;;10;;;;;1;;;;;1;;;;;;;;;6;;;2;;;;;;;;;;1;;;;;;;;1;;;;;;;;;;;;;;;;;1;;;;;;;;;1;;;;2;;;;1;;;;;1;;;;2;;;;;;14;;;1;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;1;;;;;;;49
41365-7297;20130202;SUCESSO;2;1;1;1;;21;2;;;;4;1;;;;;;;;;;;;;3;;;;;;;;1;;;;;2;;;;;;;;9;1;1;1;1;;;1;;2;;;;;;;;4;2;;1;2;1;;;;;;;;5;;;;4;1;2;;;;;;;1;;;;;;16;;1;1;1;7;;1;4;4;3;3;1;;;;2;1;;;3;2;;1;;;;5;1;1;1;;;;;;;;;2;1;1;1;;;;;;;;1;;1;1;;;4;1;1;;;;;151
41425-6895;20130201;insucesso;2;1;1;1;;16;3;;1;;3;;;2;1;;;;;;;;;;5;;;1;1;;;;;;;;;;;;;;;;;6;;;;3;;1;;;1;1;1;1;;5;1;2;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;28;;;;;9;;;4;2;1;1;;;1;1;2;2;1;1;3;3;2;1;1;1;1;3;2;1;1;;;1;;1;1;2;2;2;1;1;1;1;1;;;;;;;;;;;;;;;;;;;147
41483-6590;20130201;insucesso;1;1;;;;85;7;5;;1;6;2;;;;22;;11;;5;;;;;17;;2;10;6;3;1;1;4;3;1;;1;4;2;;;;;;;10;;;;6;1;;;;3;1;1;1;3;;;;21;4;;1;10;;5;;;5;3;1;3;31;4;;1;18;2;9;4;;3;2;5;1;7;1;;;;;35;2;3;8;3;20;2;4;11;8;4;2;1;;4;3;6;6;4;;12;11;1;7;5;3;1;12;4;2;7;3;2;5;2;3;1;2;1;1;1;1;;11;2;3;7;2;1;1;4;3;13;1;1;;7;1;4;3;1;;;646
41520-6895;20130201;insucesso;1;1;;;;13;1;;1;;4;3;;;;;;;;;;;;;4;;;;;;;;;;;;;;;;;;;;;4;;;;4;1;3;;1;;1;1;1;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;;;;;;;;;;;;;;;;;;;;;;55
41590-6590;20130201;SUCESSO;2;2;;;;24;1;;;1;5;;;;;6;1;5;1;1;;;;;8;1;;;;;;;;;;;;1;;;;;;1;1;12;;;;4;;1;;;;1;1;1;;;;;7;2;;1;1;;;;;2;1;1;1;10;4;;2;7;2;1;;;2;1;;;1;;;;;;28;;1;;;7;;;4;2;1;1;1;;;;2;1;;;4;2;;;;;;7;;;;;;;;;;;;2;2;2;;1;;;;;;;;;1;;;;2;1;;;1;;;200
42411-7297;20130202;SUCESSO;2;;2;1;;25;10;;;2;7;2;;;;2;;;;;;1;;;3;;;1;;;;;;;;;;;;;;;;;;10;1;1;;2;;1;1;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;1;;2;;;;;;5;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;1;;;;;;;;;;;;;;;;;;;;;88
4339-4435;20120102;insucesso;;;;;;45;;;;;5;1;2;;;2;;1;;;;;;;20;;1;5;1;;;;1;1;;;;;;;;;;;;15;;;;2;1;;5;;2;;;;;;;;11;;;;2;;2;1;;;;;;9;2;;2;6;;1;1;;;;;;;;;;;;40;;2;4;3;10;2;1;2;1;1;1;1;1;;;3;3;2;;9;9;1;2;1;;;15;1;1;2;;;1;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;268
44006-6895;20130201;insucesso;1;;1;1;;14;;;;;1;;;;;1;;;;;;;;;4;;;2;1;1;;;;;;;;;;;;;;;;4;;;;1;1;;;;1;;;;;;;;4;;;;1;;;;;;;;;7;1;;;2;;1;;;;;1;;1;2;;;;;14;;1;;;4;;;1;1;;;;;1;;1;;;;3;1;;1;;;;1;;;1;;;;;;;1;1;1;;;1;2;;;;;;;;;;;;;1;;;;;;;91
44022-6590;20130201;SUCESSO;3;2;1;1;;140;24;;;3;6;1;;;;26;5;14;4;;;1;;;22;;;11;4;2;1;;2;2;1;;3;4;3;3;;1;1;1;1;9;1;1;1;3;;;1;;;2;2;2;;;;;22;11;1;2;3;1;;;;8;7;;2;36;8;;1;22;10;2;;;8;7;5;4;1;;;;;;54;1;1;1;1;22;;1;8;4;2;1;1;;1;;2;2;1;;4;4;;3;2;1;;4;3;3;3;3;;2;2;1;1;;;3;2;2;1;4;;;;3;1;3;7;7;10;2;1;;8;1;6;6;;;;682
44024-6590;20130201;SUCESSO;3;1;2;2;1;139;13;;;;5;;;;;54;;20;;8;3;9;1;;12;;;3;2;1;1;;1;;;2;1;2;2;2;;1;1;5;4;10;1;1;1;;;;1;;1;;;;;1;;;35;2;1;;13;1;5;1;1;2;1;3;1;66;2;;;29;;12;5;1;;;12;6;5;;1;;;;43;1;1;6;2;19;;1;7;3;2;2;1;;1;;4;1;1;;8;2;;1;1;;;6;1;1;3;;;1;;;;1;;3;1;1;2;7;1;;;2;2;1;3;2;;;;;3;;3;2;;;;675
44033-6590;20130201;insucesso;2;1;1;1;;57;27;12;1;11;3;;;;;11;4;7;;;;;;;21;;4;7;2;1;;;;;;1;;4;1;;2;1;1;;;6;1;1;1;;;;;;;1;1;1;2;;;;12;7;;;;;;;;5;5;;;16;5;2;1;10;5;;;;4;4;1;1;;2;2;;2;1;23;4;2;5;1;7;;;2;1;;;;;;;;;;;1;1;1;;;;;1;1;1;;;;;;;;;;2;1;1;1;4;1;2;1;;;;2;1;3;2;;;6;3;2;1;;2;1;369
44049-6590;20130201;SUCESSO;2;2;;;;101;17;;;3;4;1;;1;;12;1;7;2;1;1;1;1;;11;;;5;3;1;;;;;;;;5;4;4;;;;1;1;9;;;;3;;;;;;1;1;1;;1;;;16;8;1;1;3;1;1;;;3;3;;1;19;3;;;13;6;2;1;;3;3;1;1;;;3;;2;2;27;;1;3;1;6;;2;3;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;;2;1;;;;;;4;4;;;;;7;1;4;4;;;;382
44058-7297;20130202;SUCESSO;2;1;1;;;55;1;;;;2;1;;;;6;;2;;;;1;1;;17;1;;6;3;1;;;1;1;;;;3;2;2;;3;3;;;6;1;1;;2;;;1;;1;1;1;1;;2;;1;10;;;;;;;;;1;;1;;24;1;;1;9;;;;;1;;1;;1;7;3;;3;1;64;;3;4;1;19;;1;10;5;3;2;2;;;;;;;;5;3;;1;;;;10;2;1;3;1;;2;1;2;2;1;;2;1;1;;7;1;;;;;;4;4;10;4;1;;6;;4;4;;;;395
44060-6590;20130201;insucesso;1;;;;;28;3;1;;1;5;;;;;1;;;;;;;2;1;5;;;1;;;;;2;1;;;2;2;1;;;;;;;10;;;;;;;1;;;1;1;;7;1;;1;7;;;;3;;1;1;;1;;;;9;;;;1;;;;;;;1;;2;5;2;;1;;29;;;1;;8;;1;2;;;;;;;;2;2;1;;7;5;;3;;;;14;1;;6;1;;;;;;;;1;1;;;7;;7;;2;;2;1;;2;;;;3;;1;;2;;;225
44112-7114;20130202;insucesso;1;1;1;1;;54;5;1;;2;7;2;3;1;;2;1;;;;;;;;14;;;4;;;;;;;;3;;8;7;;;;;;;17;1;1;1;9;2;2;4;;3;1;1;1;1;1;;;1;;;;;;;;;;;;1;4;2;1;1;1;;;;;;;2;;1;;2;1;1;1;29;3;3;;;7;;;;;;;;;;;;;;;1;1;;1;;;;1;1;;1;1;;;;;;;;1;1;1;1;7;2;1;;;;;10;9;2;;;;12;2;9;8;;;;297
44153-6895;20130201;insucesso;2;1;1;1;;22;2;;;1;2;;;;;;;;;;;;;;11;;;8;4;2;1;1;1;1;1;;;1;;;;;;;;5;1;1;;;;;;;;1;1;;1;;;;;;;;;;;;;;;;;3;;;;;;;;;;;;;2;1;;;;;38;;;3;;21;;3;12;6;4;4;2;2;3;2;4;3;2;;5;5;1;4;3;3;3;5;2;2;4;1;1;3;;3;3;;;2;1;1;1;4;;1;;;;;;;6;3;2;;3;;;;;;;260
44169-6895;20130201;insucesso;2;1;1;1;;58;3;1;;1;3;;1;10;5;2;;;;;;;;;17;;;7;3;2;;;;;;;2;1;;;;;;;;13;;;;2;;1;2;1;;1;1;1;;13;1;5;5;1;;;;;;;;;;;;11;1;;;3;;;;;;;;;1;1;3;1;;;45;;3;;;14;;;3;2;;;;;;;;;;1;2;;;;;;;;;;;;;;;;;4;1;2;1;1;1;4;2;;2;6;2;3;1;1;16;4;1;;9;1;1;1;;2;;325
44172-6895;20130201;SUCESSO;2;1;1;1;;29;;;;;1;;;1;1;3;;2;;;;;;;10;;;4;1;;;;;;;;;;;;;1;1;;;6;1;1;1;;;;;;3;1;1;1;;1;;1;8;;;;1;;;;;1;1;2;;13;;;;5;;1;;;1;1;3;;4;2;;;;;41;;1;4;1;13;;2;3;2;2;1;1;;;;;;;;5;3;;2;2;1;;3;;;2;;;2;;1;1;;;2;1;1;1;2;;;;;;;;;;;;;;;;;;;;219
44176-7114;20130202;insucesso;2;;2;2;;38;1;;;;1;;;;;4;;2;;;;;;;13;;;4;2;1;;;3;2;2;;;;;;;;;;;11;2;2;2;3;;;1;;2;;;;;;;;2;;;;;;;;;;;1;;8;;;;2;;;;;;;2;;2;;;;;;49;;4;2;;22;4;1;12;5;3;2;1;1;1;;2;1;1;;16;11;1;6;3;2;2;16;6;3;10;6;3;4;2;2;2;1;1;2;;;2;;;;;;;;2;2;6;1;;;3;;2;2;1;;;350
