aluno;1>;2>;3>;5>;6>;7>;8>;14>;16>;29>;30>;31>;32>;41>;42>;43>;44>;45>;46>;48>;49>;1>2>;1>46>;1>46>2>;2>1>;2>1>46>;2>1>46>2>;2>2>;2>3>;2>14>;2>14>2>;2>14>41>;2>41>;2>46>;2>46>1>;2>46>1>2>;3>2>;3>14>;5>5>;6>6>;6>6>6>;7>5>;7>5>5>;7>6>;7>14>;8>7>;14>2>;14>2>2>;14>2>14>;14>3>;14>3>2>;14>7>;14>7>5>;14>8>;14>14>;14>14>2>;14>14>14>;14>14>41>;14>31>;14>31>14>;14>31>30>;14>31>30>30>;14>32>;14>32>31>;14>41>;14>41>31>;14>41>41>;14>41>41>41>;14>41>41>41>41>;14>41>41>41>41>41>;14>41>41>41>41>41>41>;14>43>;14>43>44>;14>43>44>44>;14>48>;14>49>;16>31>;30>14>;30>14>41>;30>30>;30>30>30>;30>30>30>30>;30>31>;30>31>30>;30>41>;30>48>;31>14>;31>14>31>;31>14>41>;31>30>;31>30>14>;31>30>30>;31>30>30>30>;31>30>31>;31>30>31>30>;31>31>;31>31>30>;31>41>;31>48>;32>14>;32>31>;32>31>30>;41>2>;41>14>;41>31>;41>31>30>;41>41>;41>41>2>;41>41>31>;41>41>41>;41>41>41>41>;41>41>41>41>41>;41>41>41>41>41>41>;41>41>41>41>41>41>41>;41>41>41>41>41>41>41>41>;41>41>43>;41>41>43>44>;41>43>;41>43>44>;41>43>44>44>;43>44>;43>44>14>;43>44>44>;43>44>44>44>;43>44>44>44>44>;43>44>44>44>44>44>;44>14>;44>14>41>;44>44>;44>44>14>;44>44>14>41>;44>44>44>;44>44>44>14>;44>44>44>44>;44>44>44>44>44>;45>43>;46>1>;46>1>2>;46>2>;48>14>;48>29>;48>48>;49>48>;49>49>;
28198-5490;1;4;2;1;;2;;32;;;3;5;;17;;7;10;1;1;;;;1;1;1;1;1;;;;;;1;;;;;1;1;;;;;;;;2;;;2;;1;;;1;;;;1;;;;;;9;;3;1;1;;;3;3;;;;;;;3;1;1;;;;;;;;3;;3;1;;;;;;;;;;;1;1;1;9;;;3;1;;;;;1;;1;;;5;;1;;;;3;2;4;2;1;2;2;2;1;1;;;1;;;;;;
36350-5799;;4;1;1;2;5;;31;;1;2;6;;41;;1;1;;;4;;;;;;;;;;2;1;1;1;;;;;;1;;;1;1;1;;;2;;1;1;;1;;;2;;2;1;4;2;2;;;;8;;4;1;1;1;1;1;1;1;;;;;;;;;1;;;;4;3;3;2;;;;1;;;;;1;;;;1;1;2;;8;1;1;3;2;1;1;1;1;;;1;1;;1;1;1;;;;1;;1;;;;;;;;;;;;1;;;;
23182-6895;;;;1;;2;;12;;;;3;;7;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1;1;;1;;;;;;;1;1;;;;;;2;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
35751-5799;;1;;1;;1;;30;;;12;13;;44;;7;5;;;2;;;;;;;;;;;;;1;;;;;;;;;1;;;;;;;;;;;;;1;;;;10;;9;2;;;11;;5;;;;;2;1;1;;;;4;2;2;1;;4;4;;;;;;12;4;2;1;3;3;;;2;;;;;;;;;9;;;1;;;;;;;;1;1;1;5;1;4;2;1;;5;3;4;4;2;2;2;1;;;;;;1;;;;;
31755-7114;;1;;3;;2;;13;;1;2;4;;18;;4;6;;;1;1;;;;;;;1;;1;;;;;;;;;3;;;2;2;;;;;;;;;1;;;1;;;;2;;1;;;;4;;;;;;;1;1;1;;;;;;1;;;;;;1;;;;2;;1;;;;1;;1;;;;;;;;;1;;;;;;;;;;;;;;4;1;3;3;1;1;4;4;3;2;2;3;2;1;1;;;;;;1;;;;
36259-6590;3;16;4;4;;4;;40;3;1;12;16;2;30;;2;2;;3;2;;2;1;1;1;1;1;1;1;3;1;2;2;1;1;1;3;;4;;;4;4;;;;5;1;1;;;;;;3;;;;4;;1;;;;11;;2;1;1;;;;;;1;;3;2;;5;1;1;1;1;2;1;1;;1;9;;5;1;1;1;1;1;;;;2;1;1;1;1;;6;;;5;3;2;1;;;1;1;2;2;;2;2;;;;;2;2;;;;;;;;;2;2;1;;1;;;;
30965-4433;;10;1;2;;3;;25;;;8;13;;24;;5;12;;;;;;;;;;;1;;2;1;;;;;;;;2;;;2;2;;;;3;;1;1;;;;;7;;;;4;;1;;;;2;;;;;;;1;1;;;;;;;5;3;2;1;1;1;;;;;7;;5;3;1;;3;2;2;;;;;1;;2;1;4;;1;1;;;;;;2;2;2;2;;5;;1;1;1;;1;;3;1;;2;;2;1;;;;;;;;;;
31359-4435;;12;4;;;1;;21;1;;2;4;;19;;4;7;;;4;2;;;;;;;;1;4;2;;4;;;;4;;;;;;;;;;6;;1;2;2;;;;;;;;1;;;;;;4;;2;1;1;1;1;;;;;2;1;1;;;;;;;;;;;;1;1;;;;;;;1;2;;;;3;;1;1;12;1;1;8;6;5;2;1;;2;1;2;1;;3;1;;;;;2;2;2;1;1;;;;;;;;;;;;2;1;
32045-4434;2;21;;1;;7;;88;3;1;16;25;3;79;;4;4;1;2;8;4;2;;;;;;;;6;1;4;;1;1;1;;;;;;1;;;4;;9;;2;;;2;;;4;2;;;10;4;4;;1;;27;1;13;5;4;2;1;2;2;2;;3;3;2;;5;2;1;4;2;;2;8;1;5;9;2;;;2;2;1;1;;2;2;;;1;1;2;;29;;1;11;6;3;1;;;2;2;2;2;2;4;1;4;2;2;2;3;2;4;3;2;2;2;2;2;;2;2;;3;;;3;;
41520-6895;1;4;1;;;;;13;;;;;;5;;;;;1;;;1;;;;;;;1;4;1;3;;1;1;1;1;;;;;;;;;;4;;3;;;;;;1;1;;;;;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;
36066-6030;;;;;5;2;;9;1;;;2;1;8;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;1;;;;;;;;;;;;;5;;2;2;1;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;4;;;3;1;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
36400-5490;5;12;1;;;;;27;;;1;1;;28;;2;1;;5;;;2;4;4;4;4;4;;;5;;1;1;1;1;1;1;;;;;;;;;;3;;;;;;;;1;;;1;;;;;;;9;;4;2;1;;;;;;;;;1;;;;;;;;;;;;1;1;;;;;;;;;;;;1;1;;;12;;;5;1;;;;;;;2;1;1;1;;1;;;;1;1;1;1;1;;;;;;2;2;4;;;;;;
14770-5489;2;5;3;;;;;13;;;2;4;;11;;1;2;;2;;;2;;;;;;2;3;2;;1;;1;1;1;2;;;;;;;;;;2;;;;;;;;3;;;;;;;;;;3;1;;;;;;;;;;;;;;;;;;;;;1;;1;1;;;;;;1;1;;;;;;;;1;;1;;;1;;;;;;;;;;;1;;1;1;1;;1;;2;1;;2;1;1;;;2;2;;;;;;;
31316-4434;;1;1;;4;3;;15;;;3;3;;5;;1;;2;;2;1;;;;;;;;1;;;;;;;;1;1;;2;1;;;3;;;;;;1;1;2;;;;;;;2;;2;;;;3;;2;;;;;;;;1;1;;1;1;;;;1;1;;1;;;;2;1;;;1;1;;;;;;;;;;;;3;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1;;;1;1;
31488-4917;;1;;;;;;12;;;2;2;;9;;3;7;1;;;;;;;;;;;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1;;;;5;;3;1;1;;;1;;;;;;1;1;;;;;;;;;;;2;1;;;;;;;;;;;;;1;;;5;;;2;1;;;;;;;;;;2;;2;2;2;;;;3;;;2;;2;;;;;;;;;;;
36099-5061;1;12;;1;;2;;44;1;;5;8;1;24;;4;6;1;1;2;;1;;;;;;3;;1;;;2;1;1;1;;;1;;;1;1;;;;6;2;;;;1;1;;;;;;3;;1;1;;;3;;1;;;;;1;1;1;;;1;;;3;1;;;;1;;;;;5;;3;1;;;;;;1;1;;;1;;1;1;9;1;1;2;2;;;;;1;1;2;1;;3;;1;1;1;;1;;2;1;;2;1;1;;1;1;1;;;;1;;;
31256-5061;;12;5;;;;;33;;;;1;;21;2;5;10;;;;;;;;;;;;2;3;;1;;;;;2;2;;;;;;;;;7;;2;2;1;;;;;;;;1;;;;;;12;;4;;;;;4;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;7;1;;2;;;;;;;;;;;3;;1;;;;1;1;2;;;;;;;;;;;;;;;;
32892-5490;2;4;;;;1;;21;8;;26;28;;31;;6;8;;2;2;;;2;2;2;2;2;2;;1;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;3;;1;;;;5;1;;;;;;;;;;;7;;;12;1;;2;1;2;;1;;1;14;;6;1;2;1;1;;1;2;;;;2;;3;1;1;;1;;;;;;;;;;;;3;;;;;;;;2;;;;;;;;;;2;;;;;;
27760-4434;;8;6;;;;;15;;;2;2;;14;;3;1;;;;;;;;;;;2;;4;2;1;2;;;;3;1;;;;;;;;;4;;2;5;3;;;;1;;;;;;;;;;4;;1;1;1;1;1;1;1;1;;;;;;1;;;1;;;;;;;1;;1;;;;2;1;1;;;;;2;;1;;8;2;1;6;4;4;3;2;2;;;1;;;1;;1;1;1;1;1;;1;1;;1;;1;1;;;;;;;;;;
39095-5384;2;21;6;;;;;61;;;9;13;;23;;6;7;;2;1;;;2;1;2;2;1;;1;10;3;1;;;;;2;1;;;;;;;;;14;;5;4;;;;;2;1;;;6;;5;;;;12;1;1;;;;;1;1;;;;;4;1;1;1;;5;4;;;4;;;9;3;1;1;5;4;;;;;;;;;;3;3;8;;2;5;3;1;;;;2;1;4;3;1;5;1;2;;;;3;2;2;1;1;;;;;;;;1;;;;;;
23668-5490;2;3;;;;;;24;;;11;9;3;17;1;4;7;;2;1;;1;1;1;1;1;1;;;1;;;;1;1;1;;;;;;;;;;;2;;1;;;;;;1;;;1;1;;1;;1;1;8;;2;2;1;1;1;;;;;;;1;1;3;2;1;1;;;;3;;1;5;;2;2;;;;;;;1;2;1;;;;;5;;;3;2;2;2;1;1;1;1;2;2;1;3;;1;1;;;1;1;3;1;1;3;1;2;;;1;1;1;;;;;;
35698-6030;;1;;;2;4;;12;1;;4;4;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1;;;;;;;;;;;;2;;2;2;;;;;;;;;;;;;;;1;1;;3;1;1;2;;;;;;;2;1;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15016-4433;2;5;;;;;;8;;;;4;;9;;3;2;;2;;;1;1;1;1;1;1;;;;;;;1;1;1;;;;;;;;;;;2;;;;;;;;1;;;;1;;;;;;4;;3;3;2;1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;2;;;;5;2;;5;4;4;3;3;1;2;1;2;1;;2;;2;;;;1;;2;1;;1;1;1;1;;1;1;1;;;;;;
31437-6590;2;3;1;;;;;7;;;4;3;;8;1;1;1;;2;;1;1;1;1;1;1;1;;;;;;;1;1;1;;;;;;;;;;;2;;;;;;;;1;1;;;1;;;;;;2;;;;;;;;;;;;;;;3;1;1;;;;;;;;3;;2;1;;;1;1;;;;;;;;;;4;;;1;1;;;;;;;;;;1;;1;;;;;;1;;;;;;;;1;1;1;;;;;1;
44845-7114;;2;;1;;1;;20;1;;2;9;1;12;;;;;;1;;;;;;;;;;;;;;;;;;;1;;;1;1;;;;;;;;;;;;;;;;5;3;;;;;5;1;3;1;;;;;;;;;1;;;;;;1;;;;6;;2;2;;;;1;;1;;;1;1;;;;;1;;3;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22612-4603;2;14;;;;;;20;1;;2;5;;12;;;;;2;1;;;2;2;1;1;1;2;;9;1;2;3;;;;;;;;;;;;;;7;1;4;;;;;;3;1;;2;2;;1;1;;;9;1;1;;;;;;;;1;;1;1;;1;;;;;;;2;;;2;;1;;;;;;;;;;;5;;1;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;1;;;;;
33695-4434;3;12;6;;;2;2;57;5;1;13;26;11;56;2;8;10;;3;2;;;3;3;2;2;2;1;2;1;;;;;;;5;2;;;;;;;1;2;1;;;4;4;;;1;7;;;2;5;1;2;;5;5;11;;7;2;1;1;;;;;1;;5;1;;1;1;;2;1;;;5;1;1;10;1;;;2;1;5;3;2;;;10;2;2;1;4;;21;1;2;8;5;3;1;;;2;2;4;4;1;8;1;4;3;2;2;2;1;4;;;3;;2;2;;;;3;;;;;;
26940-4435;2;24;3;7;15;14;1;155;1;1;68;81;8;91;1;10;17;;2;7;3;;2;2;1;1;1;;2;11;3;1;;;;;1;2;7;2;;5;5;3;6;1;13;;4;1;;11;5;;30;1;;5;45;10;33;;2;1;32;1;9;8;3;3;2;4;4;3;3;3;1;30;2;2;1;;19;17;;1;22;4;7;62;24;2;1;18;15;2;1;;1;3;4;2;4;1;6;5;25;3;2;15;5;4;2;2;1;1;1;1;1;1;9;;6;3;2;2;5;2;9;5;2;4;2;2;2;;;;2;4;1;;1;2;
36589-5489;;;;;;;;1;;;;;;;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;
28173-4433;3;22;;;;;;45;;;4;4;;20;;5;8;1;3;1;;1;2;;;;;4;;3;1;;1;1;1;1;;;;;;;;;;;12;2;1;;;;;;4;2;;1;;;;;;;10;1;2;1;;;;2;1;;;;;1;;1;1;;;;;;;;;;;;;;;;;2;1;;;;2;;1;;5;1;;1;;;;;;;;1;1;;4;1;2;2;2;1;3;;5;1;;3;1;3;1;;1;1;;;;1;;;
31526-4435;2;7;;;22;3;;13;;;2;3;1;4;;1;;;2;;;;2;2;2;2;2;1;;;;;2;;;;;;;8;6;;;2;;;6;1;;;;2;;;;;;;1;;1;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;2;;1;;;;;;1;;1;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;
16014-6590;;3;4;;;;;12;;;;;1;13;;1;3;1;;;;;;;;;;;3;1;;;;;;;3;2;;;;;;;;;1;;;4;3;;;;2;;;;;;;;1;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;5;;;3;2;1;1;;;;;;;;1;;1;1;1;;1;;2;;;1;;1;;;;;;;;;;;
22135-4114;2;8;2;1;2;2;2;21;1;;1;4;1;17;;1;1;;2;4;2;;1;;;;;;;2;;1;;1;1;;1;1;;1;1;1;;1;;1;2;;1;2;1;;;1;3;1;;1;1;1;;;;;6;;1;;;;;1;1;;1;;1;;;;;;;;;1;2;;;;;;;;;2;;1;;;1;;1;;1;;5;1;;1;;;;;;;;;;;1;1;1;1;1;;1;1;1;1;;1;1;1;;;1;;;;;1;1;2;
44153-6895;2;5;;;6;3;;22;;1;;3;;38;;5;5;;2;4;;1;1;1;1;1;;;;;;;;1;1;;;;;3;2;;;;;;2;;;;;1;;;2;;;1;;;;;;;11;;8;4;2;1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;2;1;;;;;;3;;21;;3;12;6;4;4;2;2;3;2;4;3;2;5;1;4;3;3;3;2;2;4;1;1;3;;3;3;;1;1;1;;1;;;;
28177-4114;2;8;3;3;16;4;;36;;2;7;8;3;38;2;7;4;3;2;4;2;1;1;1;1;1;1;4;;2;;2;2;;;;1;1;1;4;2;2;1;1;;;3;1;;2;1;2;1;;7;1;1;3;1;;1;;1;;14;;3;1;1;1;;1;;;1;;;4;2;2;1;1;2;2;;;;;;4;1;2;1;;;1;;1;1;;2;2;;1;2;;11;;;3;2;2;1;;;1;1;5;3;2;4;2;2;2;1;1;3;2;2;1;;2;1;1;1;3;1;1;1;1;;1;1;1;
31694-4433;4;11;1;;4;2;;12;;;2;2;1;10;;1;1;;4;1;;2;3;3;1;1;1;2;1;;;;1;;;;1;;;1;;;;;;;3;;;;;;;;;;;;1;;;;;;2;;1;1;;;;;;;;;;;;;;;;;1;;;;;1;;;;;;;;1;;;1;1;1;;;;3;;;3;2;;;;;;;;;;1;;1;;;;;;1;;;;;;;;2;2;3;;;;;;
36615-6895;;4;;;;;;22;;;2;8;;15;;4;3;;;;;;;;;;;;;1;;;2;;;;;;;;;;;;;;2;;;;;;;;2;;;1;5;1;;;;;8;1;5;1;1;1;1;;;;;;;;;;;;1;;;;2;;;2;;;;1;;1;;1;;;;;1;;1;1;7;1;;2;2;1;1;;;1;1;3;3;3;3;;3;2;1;1;3;2;3;3;2;2;2;1;1;;;;;;;;;;
35754-6030;;7;;;;;;27;1;1;;3;;17;;4;11;;;2;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;2;;;;;;;2;2;;1;;1;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;4;;;;;;1;;1;;;;;;;;;;;;1;;;;
26930-4433;2;14;;2;3;5;;26;1;;1;6;;7;;3;3;;2;;;2;;;;;;2;;5;;;;1;1;1;;;1;1;;1;;2;;;7;2;2;;;5;1;;4;1;;;1;;;;;;5;;3;1;;;;;;;;;1;;;;;;1;;;;1;;1;1;;;;1;;1;;;;;;;1;;2;;3;1;1;1;;;;;;;;1;;;2;;1;1;1;1;;;2;;;1;;1;1;;2;2;;;;;;;
36173-5489;;;;;;;;6;1;;2;3;1;3;;1;2;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;1;;1;;;;1;;;;;;;;;;;;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;
31760-4434;;6;4;;3;3;;36;;;4;7;;14;;6;8;2;;4;;;;;;;;2;;;;;;;;;;1;;2;1;;;1;;;5;2;;3;;2;;;3;;;;4;2;1;;;;7;;3;2;;;;2;2;2;2;;;2;1;;;;;;1;;2;1;1;2;1;;;;;;;;2;;;;1;;;;4;;;2;;;;;;;;2;2;;6;1;4;2;1;;1;;4;1;;2;1;1;;;;;;;;;;;
22659-5490;1;2;3;;;;;49;1;;25;28;27;24;6;4;3;3;1;1;1;;1;1;1;1;1;;2;;;;;;;;1;2;;;;;;;;;1;;;2;1;;;;10;;2;4;6;;3;;14;10;12;1;5;3;2;2;1;;;;;;1;7;;3;2;1;19;14;;1;4;;1;24;7;2;2;17;13;7;5;3;;11;20;16;;4;5;2;11;;3;6;4;4;3;2;1;1;;2;;;2;1;1;1;1;1;1;;3;;;2;;2;2;3;;;1;1;;;;;
28136-4114;2;4;1;;;1;;14;;;;;;7;;;;;2;1;;1;1;;1;1;;;;1;;;1;1;1;1;;;;;;;;;;;1;;;;;1;;;2;;;;;;;;;;5;;3;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;6;;;3;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;
36137-5384;2;19;2;;;1;;44;;3;6;5;;56;;2;5;;2;6;;1;1;1;1;1;1;2;;4;;3;3;1;1;1;1;;;;;;;;;;9;1;1;2;1;;;;7;1;;4;;;;;;;23;;14;11;6;5;4;;;;4;;;2;2;2;2;2;2;1;;1;1;;1;4;1;1;1;2;1;;;1;;;;;5;1;3;2;30;3;3;23;12;9;8;4;4;1;1;1;1;1;2;;2;2;2;1;1;1;3;;;3;;2;1;;1;1;1;;2;;;;
30588-4435;1;2;;;;;;13;;;3;3;;11;;5;11;;1;;;;1;1;1;1;1;;;;;;1;;;;;;;;;;;;;;1;;;;;;;;;;;;1;;1;;;;6;;1;;;;;1;1;;;;;2;2;;;;;;;;;;;2;1;;;;;;;;;;;;1;;1;;1;1;;;;;;;;;;2;2;;5;;;;;;1;;1;1;;;;;;;;;1;;;;;;
37663-5490;;;;;;;;5;;2;3;4;3;3;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;1;1;;;;;;;;;1;;;;;1;1;;;;;;;;;1;;1;1;;;1;1;;2;1;;;;;1;;1;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;;;
31476-6895;3;8;;1;;1;;29;;;;4;;28;;2;;;3;;1;3;;;;;;2;;2;;;2;2;2;2;;;1;;;1;1;;;;3;2;;;;1;1;;5;1;;2;3;1;;;;;12;;1;;;;;1;;;;1;;;;;;;;;;;1;1;;;;;;;;1;;2;;;;;2;1;;;9;1;;3;2;2;2;1;;;;;;;;;;;;;;;;;;;;;;;3;3;;;;;;;
27482-6590;;1;;;;;;13;1;;4;5;;5;;;;;;;1;;;;;;;1;;;;;1;;;;;;;;;;;;;;1;1;;;;;;;;;;;4;;3;;;;3;;3;2;2;2;2;;;;;;1;;;;;;;;1;;;;;4;;;;;;1;1;;;;;;;;;;5;;;3;2;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;
40983-6030;1;19;2;5;6;4;1;50;2;7;16;14;1;28;2;7;14;3;1;8;1;;1;1;;;;2;;4;;2;2;;;;1;;2;2;;4;2;;;1;8;1;2;1;1;1;1;1;2;1;1;;8;;4;1;1;1;8;;1;1;1;1;1;;;;;;2;2;;5;;;3;3;3;1;1;1;;8;1;1;;3;3;;;2;3;;1;1;2;1;1;1;14;1;1;4;4;3;3;3;2;3;3;3;3;1;5;;1;1;1;1;1;1;3;1;1;3;1;1;1;2;;;1;;7;1;;;
