aluno;1>;2>;3>;5>;6>;7>;8>;14>;16>;17>;29>;30>;31>;32>;33>;34>;36>;38>;39>;41>;46>;48>;49>;1>2>;1>46>;1>46>2>;2>1>;2>1>46>;2>1>46>2>;2>2>;2>2>31>;2>3>;2>14>;2>14>2>;2>14>41>;2>31>;2>31>30>;2>31>30>30>;2>38>;2>41>;2>41>41>;2>46>;2>46>1>;3>2>;3>14>;5>5>;6>6>;7>5>;7>5>5>;7>6>;14>2>;14>2>2>;14>2>14>;14>2>31>;14>2>41>;14>3>;14>3>2>;14>7>;14>7>5>;14>7>5>5>;14>14>;14>31>;14>31>14>;14>31>30>;14>31>30>30>;14>31>30>30>30>;14>32>;14>32>31>;14>38>;14>41>;14>41>2>;14>41>31>;14>41>41>;14>41>41>41>;14>49>;16>31>;16>31>30>;17>30>;17>30>14>;30>2>;30>14>;30>14>41>;30>17>;30>17>30>;30>30>;30>30>14>;30>30>30>;30>30>30>30>;30>30>30>30>30>;30>30>30>30>30>30>;30>30>31>;30>31>;30>31>30>;30>41>;30>48>;31>2>;31>14>;31>30>;31>30>14>;31>30>30>;31>30>30>30>;31>30>30>30>30>;31>30>30>30>30>30>;31>30>31>;31>30>31>30>;31>30>41>;31>30>48>;31>31>;31>31>30>;31>41>;31>48>;32>31>;32>31>30>;34>36>;36>34>;36>36>;36>36>36>;36>36>36>36>;36>36>36>36>36>;36>36>36>36>36>36>;36>38>;38>14>;38>33>;38>36>;38>41>;41>2>;41>14>;41>31>;41>31>30>;41>38>;41>41>;41>41>2>;41>41>31>;41>41>41>;41>41>41>41>;41>41>41>41>41>;46>1>;46>1>2>;46>2>;48>14>;48>29>;48>30>;48>48>;49>48>;49>49>;49>49>48>;
31794-4605;3;9;1;;16;4;;16;1;1;;3;8;;;;;2;;28;3;1;;2;1;1;2;1;1;3;;1;2;1;;;;;;1;;2;;1;;;1;;;2;3;1;;;;;;1;;;1;3;;;;;;;1;2;1;;;;;1;1;1;;;;;;;2;;;;;;;;;;;;;1;;1;;;;;;;;1;;5;;;;;;;;;;;;;;;1;1;;1;;;4;;;2;;;1;1;1;;;;;;;;
33006-4130;1;17;;;45;7;;60;1;4;;29;29;1;4;2;5;14;;44;1;6;6;1;;;;;;2;1;;5;1;2;2;2;1;2;4;2;1;1;;;;10;;;4;6;1;1;1;;;;4;;;2;16;1;12;5;1;1;1;2;15;2;;7;4;5;1;1;4;4;2;12;1;1;1;11;3;5;3;1;;1;3;2;2;;1;3;22;5;10;4;2;1;2;1;1;;1;;2;;1;;1;2;4;4;2;2;2;2;2;4;3;1;4;4;4;2;1;15;2;3;7;3;1;1;1;;;;;;6;;;
21708-5468;;13;;;;1;;83;1;4;;34;48;;1;1;2;10;;16;;2;3;;;;;;;1;;;;;;3;1;;1;;;;;;;;;;;;6;;;3;;;;;;;3;37;;21;9;5;;;6;5;;;2;;;1;;4;1;;4;;1;1;15;1;7;3;1;;2;5;3;;;2;1;29;1;12;6;3;1;3;2;;;4;;2;;;;;1;;;;;;1;;1;1;1;1;1;2;2;;3;;1;;;;;;;;;;;2;2;2;
18184-7098;1;7;1;;4;3;;15;;;1;;2;;;;;;;1;1;6;;;1;1;1;1;1;;;1;1;;;;;;;;;;;1;;;1;;;;2;;;;;;;3;;;;1;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;;;;;;
21340-5468;2;14;5;;1;2;3;43;3;;;14;15;2;2;1;4;6;;32;2;2;4;1;1;1;;;;1;;;7;;4;;;;;2;;1;1;1;1;;;;;1;5;1;1;;1;;;1;;;5;2;;1;1;;;;2;11;;1;1;;1;3;;;;;3;;;;7;1;3;1;;;1;1;1;2;1;1;1;10;2;7;3;1;;;;1;1;1;1;2;;2;2;;1;3;3;2;2;1;;2;2;1;;1;1;2;1;1;4;;;;;;1;1;1;;;;;;1;;
36150-5388;3;35;7;;;2;;68;2;1;;28;35;4;1;1;8;17;4;47;3;2;;;3;3;3;2;1;10;3;1;2;;2;8;6;3;2;5;1;;;5;;;;;;;9;3;;;3;5;5;1;;;2;6;;3;1;1;2;2;7;14;;;4;3;;2;1;1;;2;2;;;;8;;3;3;1;1;;;;4;2;1;1;23;1;7;3;3;1;;;2;;1;;3;1;3;2;;1;2;1;;;;;2;1;2;5;6;1;2;2;3;11;2;;6;2;2;1;;3;;;1;1;;;;
30760-5388;;7;;2;;2;;48;;19;;47;28;;;;;3;;13;2;11;1;;;;;;;1;;;;;;3;3;1;;1;1;;;;;2;;1;1;;4;1;;;1;;;2;1;1;1;16;;15;1;;;;2;5;1;;1;;;;;17;5;;5;1;2;1;4;;;;;;;;;3;4;;;24;;2;;;;;;3;3;2;1;;;;;;;;;;;;;;;;2;3;;1;1;;2;1;;;;;;;;1;;;3;1;1;1;
21367-4605;1;15;6;5;;4;;32;1;;3;8;9;;2;1;7;8;;22;1;4;2;;1;1;1;1;1;;;1;7;1;2;1;1;1;;2;;;;6;;3;;3;3;;8;;2;;2;5;5;2;1;1;1;3;2;1;;;;;2;8;;;4;2;;1;1;;;;2;1;;;5;1;3;1;;;1;1;1;;;;2;6;;4;3;1;;1;1;;;;;1;;;;;;3;2;1;1;1;1;3;1;2;;;;;;1;9;;;4;1;1;;;1;;3;;3;1;1;1;
32853-4605;1;12;13;;15;4;;32;1;;7;4;10;1;1;1;1;3;;10;1;10;1;1;;;;;;2;;1;2;;;1;1;;1;1;;1;1;5;1;;3;;;;3;;1;1;;10;2;3;;;;5;;;;;1;;;4;;;1;;;1;;;;1;;;;;2;;;;;;;;;;;;1;2;;1;;;;;;;;;;1;4;;;1;;;;;;;1;1;1;;;;;1;1;;1;;;;;;1;1;;;7;;;1;1;1;
35973-5388;;16;;2;1;3;1;69;;;1;14;20;;;;;2;;18;;5;;;;;;;;5;;;3;1;;4;4;1;;3;1;;;;;2;;2;2;1;5;1;2;1;;;;2;1;1;3;10;;5;;;;;;8;1;1;3;2;;;;;;1;2;;;;2;1;1;;;;;;;;3;1;;12;;2;1;;;;;;2;;;1;;;;;;;;;;;;;;;1;3;;4;1;;6;1;;4;3;2;;;;;1;2;1;;;;
36318-5469;;3;;;2;2;1;24;1;;;1;7;;;;;;;7;;;1;;;;;;;;;;1;;;;;;;;;;;;;;1;;;1;2;;;;;;;;;;;3;;1;;;;;;1;;;;;;1;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;
31479-4605;;3;;;;1;;8;;;;;1;;3;1;2;4;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1;;;;;;;1;3;;;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;3;1;;1;;;;1;2;1;;1;;;;;;;;;;;;;
31505-5468;1;17;;;;2;;29;;;;2;11;;2;2;7;10;;25;1;;;;1;1;1;1;1;1;;;2;;1;;;;1;1;;;;;;;;;;;6;;1;;1;;;;;;2;2;;;;;;;4;5;;;2;1;;;;;;;1;1;;;1;;1;1;;;;;;;;2;;2;1;1;1;1;;;;;;;;3;;;;1;1;3;2;;;;2;3;2;1;2;1;1;2;;1;9;;;5;2;1;;;1;;;;;;;;
35743-5388;5;20;6;;1;1;1;60;2;5;;24;25;8;2;1;11;6;1;16;7;;;3;2;2;3;1;1;;;2;5;;;1;1;;;1;;2;2;3;3;;;;;;8;;2;;1;3;2;;;;2;14;3;9;1;;4;4;1;12;1;1;;;;2;1;5;1;;6;;;;2;1;;;;;;1;1;;;;5;18;3;1;;;;1;1;;;1;1;;;8;6;;1;7;6;3;3;2;1;2;2;2;;1;;1;;;;;;;;;3;2;2;;;;;;;;
35554-5388;3;12;;;8;5;;66;3;10;;37;26;2;1;;6;4;;16;3;8;2;3;1;1;2;1;1;3;3;;2;;1;5;4;2;;1;;3;2;;;;3;;;;10;3;;2;1;;;4;;;3;10;;6;2;1;;;2;9;;;4;2;1;3;;10;1;1;2;;2;2;11;1;5;3;2;1;1;2;;;1;1;1;17;;7;3;3;2;;;;;4;2;;1;1;;;;1;1;1;;;;1;1;;2;;2;;;;5;;;2;1;1;2;2;2;3;;2;4;2;2;2;
36320-5388;3;20;;;6;3;;35;1;;;7;9;;2;1;2;7;;40;3;;1;1;2;2;1;1;1;3;;;;;;1;1;1;;5;1;1;1;;;;;;;1;8;;;1;4;;;3;;;2;3;;2;;;;;2;7;1;;1;;;1;;;;;;;;;1;;;;;;;;;1;;;1;5;;1;;;;;;1;;;;;;;;1;1;1;1;1;1;1;1;2;1;1;1;2;;;;;12;;;5;3;2;1;1;2;;;;;;1;;
36359-7098;1;11;1;;;3;;21;;;;2;8;;2;1;3;4;;9;1;1;1;1;;;;;;6;1;;;;;2;;;2;2;;1;1;;;;;;;;9;3;;1;;;;1;;;2;3;;1;1;1;;;1;5;;2;;;;;;;;;;;;;1;;1;1;1;1;;;;1;;2;;2;;1;1;1;1;;;1;;;;1;1;;;;1;3;2;2;2;1;;1;2;1;;;2;2;1;1;3;;1;2;2;1;1;1;;;;;;;;;
29300-4605;1;7;;;;1;;11;;;;3;4;;1;;2;4;;6;1;;;1;1;1;1;;;1;;;;;;1;;;1;2;;1;1;;;;;;;;1;;;;1;;;1;;;;2;;1;;;;;2;3;1;;;;;;;;;;1;;;;1;;;;;;;1;;;;1;1;2;1;1;;;;;;;;1;1;;;;;;;1;;;;;;1;1;;;1;;;;2;;;;;;;1;;1;;;;;;;;
31095-4605;;9;;;1;4;;39;1;1;;25;18;2;1;1;2;6;;25;;2;;;;;;;;1;;;1;;;1;;;;3;2;;;;;;;;;;3;;;1;1;;;1;;;1;9;;5;1;1;;;1;5;;;1;;;1;1;1;;;6;3;1;1;9;2;5;2;2;2;1;3;2;;1;1;1;11;3;4;1;;;2;1;;1;1;1;2;;;;1;;1;;;;;1;1;;;3;1;;2;1;2;9;1;1;;;;;;;;;1;;;;;
36015-5469;;6;;1;1;4;;24;;;2;2;4;2;1;1;9;4;1;12;;2;;;;;;;;;;;3;;1;;;;;;;;;;;;;1;;1;3;;1;;;;;4;1;;2;4;1;1;;;;;;5;;1;1;;;;;;;;1;;;;;;;;;;;1;1;;;;2;2;1;;;;;1;1;;;;;;1;2;1;;1;3;2;2;2;2;;2;;;;1;;1;1;;3;1;;;;;;;;;2;;;;;;
31273-4605;2;36;;5;5;10;;83;2;4;1;48;53;;2;2;12;21;;57;5;1;3;1;;;;;;3;;;7;3;2;3;;;2;5;;1;1;;;5;1;5;5;1;15;1;4;;2;;;5;3;3;4;14;1;9;4;2;;;6;16;1;1;4;1;1;2;2;4;;;2;;1;1;16;1;9;4;3;2;1;4;1;1;;2;3;32;;8;3;1;;2;;;;1;1;3;;;;2;;3;1;;;;2;2;1;1;3;4;2;1;1;2;12;;;5;2;1;2;1;;;1;;;;2;;
31618-5468;;3;2;2;;5;2;22;;3;;14;15;8;;;;;;7;;1;;;;;;;;1;1;1;1;;1;1;1;;;1;1;;;1;;1;;1;1;;2;1;;;;1;;3;1;1;;3;1;3;2;;3;3;;4;;2;;;;;;3;1;;2;;1;1;6;;4;3;1;;1;3;1;;1;1;2;11;1;5;2;2;;1;;;1;;;2;;7;5;;;;;;;;;;;;;1;;2;2;;2;1;;;;;;;;1;;;;;;;
30771-5469;;19;2;6;4;7;3;63;4;5;;27;24;2;1;1;5;4;;30;1;2;3;;;;;;;;;1;3;;;2;2;1;;1;;;;1;1;2;;2;2;2;10;;;2;1;;;2;1;1;3;9;1;5;;;;;2;17;1;2;3;2;2;3;;5;;;5;1;;;5;;3;1;;;1;3;1;;;;5;14;2;4;3;1;;;;;;1;;;;2;2;1;;;;;;;1;1;1;2;;2;;3;2;;3;1;;2;;;;;;;;1;;1;2;1;
22929-7118;1;11;;;;1;;39;2;9;;37;37;;2;1;7;6;;25;4;8;2;1;;;;;;1;1;;1;;;3;1;;;1;;1;1;;;;;;;;2;;;2;;;;;;;1;15;;9;;;;;;3;1;;1;1;;2;1;6;2;;2;;1;1;6;;1;1;1;1;;4;3;1;5;1;1;22;;4;1;1;1;4;3;;;1;1;;1;;;;1;2;1;;;;;1;1;;1;3;;7;3;1;8;;3;3;2;;1;1;;1;;1;2;;2;;
31756-4605;;1;;;;;;3;;;;;1;;;;;;;1;;;;;;;;;;;;;;;;1;;;;1;;;;;;;;;;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13016-5468;1;17;8;3;;3;;61;1;5;1;34;25;7;;;;3;3;34;1;8;;1;1;1;1;1;1;3;;;5;1;2;2;2;2;;3;1;1;;1;2;3;;2;2;;10;1;3;2;3;5;1;2;1;1;4;12;2;9;8;6;4;1;2;19;;1;4;2;;1;1;5;;;3;;2;2;19;1;11;8;6;4;4;5;4;2;4;;4;19;;14;9;7;5;2;1;;;2;1;1;;2;2;;;;;;;;;2;;;;;5;2;1;1;8;;1;3;;;;;1;1;1;;;;;;
31473-4605;2;16;;3;4;3;;38;1;1;;6;14;;2;2;8;8;;18;1;1;1;1;1;1;1;1;1;1;;;4;1;2;2;;;;1;1;1;1;;;2;4;2;2;;9;;2;1;1;;;2;2;2;2;5;;2;1;1;;;3;6;;;1;1;1;1;;1;1;;4;1;1;1;3;1;2;1;;;1;1;;;;3;1;5;3;2;2;1;;;;;;;;;;;;1;2;1;1;;;;2;2;1;2;;2;;1;;;2;1;;1;;;1;;1;1;;;;1;1;1;
35934-5469;2;24;8;5;5;7;2;95;2;4;;31;35;;2;1;8;13;5;48;3;6;4;1;1;1;1;1;1;4;2;;4;;;3;3;1;;1;;1;1;2;1;3;1;4;3;1;10;2;1;;;5;2;3;1;1;3;16;1;13;5;2;;;7;17;;3;2;;3;1;1;4;2;1;7;1;;;13;3;5;3;1;;1;2;2;3;1;;2;27;2;12;5;3;1;1;1;1;;1;1;;;;;1;1;;;;;;2;2;2;4;6;3;1;7;5;3;14;2;2;3;2;1;1;1;1;;;1;;4;4;4;
22256-4605;;;;2;7;2;;5;;;;1;3;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;2;4;1;1;1;;;;;;;;1;1;1;;2;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30961-7274;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
33816-7274;;8;;;7;5;1;18;2;1;1;7;8;1;;;;2;;19;;4;1;;;;;;;2;1;;;;;1;1;;;1;;;;;;;;;;1;4;1;;;;;;5;;;1;3;;2;;;;;1;1;;;;;;2;2;1;;1;;;1;1;2;;;;;;;;;;;;;4;;1;;;;;;;;;;1;;;;;;;;;;;;1;;;;;;;;1;2;;;1;1;;;;;;1;;;1;;;
36028-5468;;7;;;;;;11;1;1;;4;5;;2;1;4;3;;3;;;;;;;;;;;;;1;;1;1;1;;;1;;;;;;;;;;;5;;1;1;1;;;;;;;2;;2;1;1;;;1;1;;;;;;1;;1;1;;1;;1;1;1;;1;1;;;;;;;;1;;3;;1;1;1;;;;;;;;;;;;1;1;2;1;1;1;1;1;;2;;;;;;;1;;;;;;;;;;;;;;;;;
24676-7274;1;8;;;;;;14;;;;3;4;;;;;1;;8;1;1;;1;;;;;;;;;5;1;1;;;;;1;;1;1;;;;;;;;7;;5;;1;;;;;;1;4;;2;1;;;;1;6;;;4;2;;;;;;;;;;;1;;;;;;;1;;;1;;1;3;;1;;;;1;;;1;1;1;;;;;;;;;;;;;1;;;;2;1;;;;4;2;;2;2;1;1;1;;;;;;;;;
30760-4604;;14;;2;;3;;37;1;3;;24;26;;1;1;3;7;;20;;13;5;;;;;;;2;;;;;;2;2;2;;3;2;;;;;2;;2;2;;7;1;;2;;;;2;2;2;1;12;;10;1;1;;;1;3;;;1;;2;1;1;3;1;;2;;;;7;;5;2;1;1;;;;4;7;1;;18;1;4;4;1;;;;;5;;;3;1;;;;1;1;1;;;;;1;1;;1;2;;1;1;1;3;;;1;;;;;;3;;3;7;4;1;1;
3371-4605;1;11;4;;;1;;15;;;;1;1;;1;1;2;4;;8;1;;;;1;1;1;1;1;6;;;2;;1;;;;1;1;1;;;3;;;;;;;3;2;;;1;3;3;;;;1;1;;1;;;;;1;3;;;1;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;1;;2;1;1;1;1;1;;1;;;1;;;;;2;1;;;;;;;1;;;;;;;;
31574-4605;;7;;;;1;;29;1;;;8;13;;1;;;5;;8;;;;;;;;;;2;1;;1;;;2;1;1;;2;;;;;;;;;;;2;;1;1;;;;;;;1;8;;2;2;;;;3;5;;1;2;;;1;;;;2;2;;;;7;2;1;1;;;;;;1;;;1;7;;7;1;1;;;;;;2;2;;;;;;;;;;;;;1;1;;;1;1;1;1;1;2;;;;;;;;;;;;;;;;
36228-5469;1;6;;2;;4;1;31;2;;;9;15;;1;1;5;3;;28;2;1;;1;;;;;;1;1;;1;;;1;1;1;;;;;;;;2;;2;2;;3;1;;;;;;1;;;2;5;;1;;;;;;4;;;;;;1;;;;;1;;;;7;1;4;3;3;1;;;;;;;3;7;;5;3;2;2;;;;;;;2;;;;;1;3;2;2;2;2;;1;1;;;1;;2;1;;7;;1;2;1;;1;1;;1;;;;;;;
36691-5469;1;8;1;;;;;24;1;3;;7;8;;1;1;2;4;1;13;1;3;1;;1;1;;;;;;1;3;;1;;;;1;;;;;;1;;;;;;5;;2;;;;;;;;2;3;;2;1;;;;1;9;2;;1;1;;1;;3;;;1;;2;2;4;;1;1;;;;2;1;;1;;2;4;1;2;1;;;2;1;;;1;1;;1;;;1;1;1;1;1;1;;1;1;1;1;;2;2;;;1;1;;;1;;;;;1;;;2;;1;1;1;
27980-4604;;5;1;;9;1;;16;1;;;5;9;1;;;;2;;22;;;;;;;;;;1;;;;;;1;1;;;;;;;1;;;;;;;2;1;;;;;;1;;;1;1;;1;;;;;;5;;1;2;1;;1;;;;;;;;;1;;;;;;;2;;;;;2;3;;1;;;;1;;;;;;1;;;;;;;;;;;;;;;1;1;;1;;;11;;;5;4;4;;;;;;;;;;;
36245-7098;1;12;;;;;;14;1;;;1;6;;;;;4;;;1;;;1;;;;;;6;2;;1;;;3;;;3;;;1;1;;;;;;;;7;4;1;;;;;;;;1;3;;;;;;;1;;;;;;;1;;;;;;;;;1;;1;;;;1;1;;;;2;1;;;;;;;;;;;2;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;1;1;;;;;;;;;
32989-5468;1;15;2;;;;;47;;1;;7;9;2;1;1;1;3;;36;1;;1;1;;;1;;;;;1;5;;1;;;;;2;1;1;1;2;;;;;;;4;;;;;1;1;;;;4;4;;3;2;;1;1;2;18;1;3;2;;;;;1;1;1;1;;1;1;5;;4;3;2;1;1;1;1;1;;;1;6;;4;2;2;1;;;;;;;2;;2;2;;1;;;;;;;;1;;;6;1;3;1;;7;3;;1;;;1;1;1;;;;;;1;;
22801-5468;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18163-4605;1;6;;;6;6;;19;;;;1;2;;2;1;4;8;;28;1;;;1;;;;;;1;;;1;;1;1;1;1;;4;3;1;1;;;;1;;;3;4;1;;;3;;;3;;;;;;;;;;;3;9;;;2;2;;;;;;;;;;;1;;1;;;;;;;;;;;1;;1;1;;;;;;;;;1;;;;;1;1;;;;;;2;2;;3;1;;;;1;15;1;;9;5;2;1;1;;;;;;;;;
34942-4604;2;5;4;;;1;;11;;;;1;1;;1;;;2;;15;2;;;2;;;1;;;1;;;;;;;;;;;;1;1;2;;;;;;;;;;;;2;1;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;1;4;;;2;1;1;2;1;;;;;;;;;
31478-5469;;5;;3;;3;;10;;;;6;6;;;;;1;;17;;;;;;;;;;1;;;;;;1;1;1;;1;;;;;;3;;3;3;;1;1;;;;;;1;1;1;;;;;;;;;;1;;;;;;;;;;2;;;;;4;;4;4;3;1;;;;;;;;3;;2;2;2;1;;;;;;;1;;;;;;;;;;;;;;;1;;;2;;;7;;2;4;1;1;;;;;;;;;;;
31499-4605;4;32;5;9;2;8;;80;2;1;;14;24;;3;1;36;22;2;82;4;7;2;1;2;1;2;1;;8;1;3;1;;1;2;1;1;1;3;1;1;1;1;2;6;;6;5;1;7;1;;;;;;2;2;2;7;8;;4;;;;;6;23;1;;2;;;2;;1;;1;1;1;;;4;1;2;1;1;;;3;2;;;1;2;10;;3;2;1;1;2;1;;;5;;3;3;;;1;;6;1;;;;1;1;3;11;2;4;;1;1;3;10;;;2;1;;1;1;2;;;1;1;;1;;
22316-4130;;7;5;5;1;6;5;33;1;;;10;12;5;;;;4;3;21;;2;1;;;;;;;;;1;1;;;;;;1;;;;;3;2;3;1;3;3;;;;;;;1;1;3;1;1;2;3;;2;2;1;2;2;1;6;;1;3;2;;1;;;;;;;;;6;;3;1;;;;;;2;;;1;4;;4;2;1;;;;;;1;;2;2;4;2;;;;;;;;;;;;;2;2;2;;1;10;2;1;5;3;1;;;;;;2;;;1;;
36031-5468;;;;;;;;21;;;;1;1;;;;;;;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1;;;;;;;;;;;;;
31005-5468;;5;;;4;1;;29;;;;6;8;;;;;1;;17;;;;;;;;;;;;;2;1;1;;;;;2;;;;;;;1;;;1;3;;;;2;;;;;;1;4;1;2;1;;;;;6;;;3;2;;;;;;;4;1;;;1;1;;;;;;;;1;;;1;6;3;1;;;;;;1;;1;1;;;;;;;;;;;;;1;;;1;1;2;3;3;1;7;;3;4;3;1;;;;;;;;;;;
31543-7274;;3;;1;;1;;9;;;;3;4;;;;;;;9;;1;;;;;;;;;;;;;;1;;;;;;;;;;1;;1;1;;1;;;;;;;1;1;1;;2;;1;;;;;;2;;;1;;;;;;;;;;;;1;;;;;;;;;1;;1;;2;;1;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;5;;;3;2;1;;;;;;1;;;;;
31168-4604;2;19;;2;10;6;1;40;1;1;;13;13;;1;1;2;5;;51;2;3;;1;2;2;1;1;1;2;;;;;;1;1;1;;2;;1;1;;;2;3;2;2;1;8;1;;1;1;;;;;;1;3;;1;1;1;;;1;11;;;;;;1;;1;;1;;;;;12;;8;7;7;5;;;;;;;1;5;;5;5;5;5;;;;;1;;;2;;;;1;1;;;;;;;1;1;1;;;;;;3;;;2;;;1;1;2;;;1;;;;;
30887-4604;2;13;;;;1;;19;1;;;6;5;;1;;;2;;10;2;4;1;2;;;1;;;2;;;5;1;1;1;1;1;;1;1;1;1;;;;;;;;8;2;1;;1;;;1;;;;2;;2;;;;;;5;;1;;;1;1;;;;2;1;1;;;4;1;;;;;;;;1;;;1;4;;2;;;;;;;;;;;1;;;;;;;;;;;1;1;;1;;;1;1;1;1;;;;;;2;2;1;;;1;;1;;;
27881-4604;1;6;;;;;;13;;;;1;1;;;;;;;3;1;;;;1;1;1;1;1;;;;4;1;1;;;;;;;;;;;;;;;;2;;1;;;;;;;;4;1;;1;;;;;;3;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;
35904-5469;;6;;;;;;14;;1;;6;5;1;;;;;;10;;;;;;;;;;;;;1;1;;;;;;1;;;;;;;;;;;4;;;;;;;;;;;5;;4;;;;;;4;1;;1;1;;;;1;;;1;1;;;;;;;;;;;;;;;;4;1;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;3;;;1;1;1;;;;;;;;;;;
30876-4604;2;19;1;2;;4;;81;1;3;2;60;71;;3;1;8;14;;47;2;34;;2;1;1;1;;;4;2;;;;;5;2;;;2;;2;2;1;;2;;2;2;;6;1;;2;;;;2;1;1;3;38;;27;13;8;;;6;15;2;2;2;2;;1;1;3;2;2;4;;1;1;29;;13;6;1;1;2;4;3;11;4;3;1;51;2;25;13;6;1;2;2;5;2;7;4;5;7;;;;1;3;2;2;2;1;1;;3;4;2;3;;11;7;2;10;;4;7;2;1;2;2;1;4;2;2;1;;;;
32282-5469;1;7;9;;;1;;18;;;;;1;;;;;;;12;1;2;1;;1;1;1;1;1;1;;;3;;2;;;;;;;;;6;;;;;;;1;1;;;;8;4;;;;;;;;;;;;;7;;;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;;;2;2;;;;1;1;;;;;;;
22513-4605;;3;2;;;;;8;;;;2;1;;1;1;6;3;;6;;4;2;;;;;;;;;;1;;;;;;;2;1;;;2;;;;;;;;;;;;2;2;;;;1;;;;;;;;;2;;;1;;;;;;;;;;;;2;;1;1;;;;;;1;;;;1;;1;;;;;;;;;;;;;;;;2;1;;;;1;;1;;;;;;;;3;;;2;1;;;;;1;;;;1;;;
31385-4130;;7;;;1;4;;31;1;;1;9;11;;;;;;;16;;5;;;;;;;;1;;;1;;;1;;;;3;1;;;;;;;;;1;2;1;;;1;;;1;;;2;1;;;;;;;;2;;;;;;1;;;;1;1;;;;6;;3;;;;;;;2;1;1;1;5;;4;1;;;;;;;;;2;;;;;;;;;;;;;;;;2;;2;1;;3;;1;1;;;;;;1;1;1;3;;;;
32725-4605;;14;;;;1;;46;2;1;;19;29;;2;;6;3;1;33;;20;10;;;;;;;2;1;;3;;1;5;4;;;;;;;;;;;;;;5;;3;1;;;;;;;1;13;2;6;2;2;;;1;12;;;4;;6;2;1;1;;1;2;1;;;3;;2;;;;1;2;2;1;11;;5;17;1;3;2;;;;;1;11;1;;5;1;;;;;1;1;;;;;;2;1;1;3;1;2;2;;10;;2;2;1;;;;;11;;2;;9;8;8;
36196-5388;2;15;14;1;;1;;40;1;1;;7;6;1;1;;7;4;12;20;3;;;;2;2;2;1;1;4;;1;2;1;1;;;;;2;1;1;1;4;3;1;;1;1;;4;1;;;;5;1;;;;3;1;;1;1;;1;;;10;1;;3;1;;1;1;;;;1;;;;2;;;;;;;;;1;;;;4;;1;;;;;;;;;;;;;;;;1;;;;;;1;1;2;;2;1;;;;7;1;;1;1;1;1;;2;;;;;;;;
22460-7274;;4;;;;1;;9;1;1;;8;8;1;;;;3;;3;;;;;;;;;;3;;;1;;;;;;1;1;;;;;;;;;;;;;;;;;;1;;;;5;1;3;;;;;1;2;;1;;;;1;;1;1;2;2;1;;;3;;1;;;;1;1;;;;1;1;5;1;1;1;;;;;;;1;1;;;1;;;;;;;;;;;;;1;1;;1;1;;;;;;;;;;;;;;;;;;
15396-4130;2;8;;;;2;;21;2;;;9;10;;1;1;4;4;;15;3;1;;;1;;2;1;;2;;;1;;1;;;;;;;1;;;;;;;;;2;1;;;;;;;;;1;5;;2;;;;;;6;;;1;;;1;1;;;;1;;;;2;;2;1;;;;;;;;;;7;1;1;1;;;;;;;;;;;;;;1;3;2;2;2;2;;;1;1;;;1;;;;3;;;1;;;;;1;;;;;;;;
