aluno;1>;2>;3>;5>;6>;7>;14>;16>;17>;29>;30>;31>;32>;33>;34>;36>;38>;39>;41>;46>;48>;49>;1>2>;1>46>;1>46>2>;2>1>;2>1>46>;2>2>;2>14>;2>14>41>;2>31>;2>31>30>;2>41>;2>46>;2>46>1>;2>46>1>2>;3>2>;5>5>;6>6>;6>6>6>;7>5>;7>5>5>;7>6>;14>2>;14>2>2>;14>2>14>;14>2>31>;14>2>41>;14>3>;14>3>2>;14>7>;14>14>;14>31>;14>31>30>;14>31>30>14>;14>31>30>30>;14>31>30>30>30>;14>31>30>30>30>30>;14>31>31>;14>32>;14>38>;14>38>36>;14>41>;14>41>2>;14>41>31>;14>41>41>;14>41>41>41>;14>49>;14>49>49>;16>31>;16>31>30>;17>30>;17>30>14>;17>30>30>;30>2>;30>14>;30>14>31>;30>14>41>;30>17>;30>17>30>;30>30>;30>30>14>;30>30>30>;30>30>30>14>;30>30>30>30>;30>30>30>30>30>;30>30>30>30>30>30>;30>30>30>30>30>30>30>;30>30>31>;30>30>41>;30>31>;30>31>30>;30>41>;30>48>;31>2>;31>14>;31>30>;31>30>14>;31>30>30>;31>30>30>30>;31>30>30>30>30>;31>30>30>30>30>30>;31>30>30>30>30>30>30>;31>30>30>30>30>30>30>30>;31>30>31>;31>30>31>30>;31>31>;31>31>30>;31>41>;31>48>;32>31>;32>31>30>;36>34>;36>36>;36>36>36>;36>36>36>36>;36>36>36>36>36>;36>36>36>36>36>36>;36>38>;38>14>;38>33>;38>36>;38>41>;41>2>;41>14>;41>31>;41>31>30>;41>38>;41>41>;41>41>31>;41>41>41>;41>41>41>41>;46>1>;46>1>2>;46>2>;48>14>;48>29>;48>30>;48>48>;49>48>;49>49>;49>49>48>;
15432-5469;1;20;;;10;7;91;1;1;;13;18;3;;;;1;;16;1;5;;1;;;;;3;6;;1;;2;1;1;1;;;;;;;1;13;2;4;;1;;;3;13;12;3;2;;;;;2;;;12;2;;4;3;;;1;1;1;1;;;4;2;1;;;2;;;;;;;;;;;;;1;2;1;7;3;;;;;;;;;;;1;;1;;;;;;;;;;;;;3;1;1;1;1;5;1;3;3;1;1;;2;;1;1;;;;
31068-7118;2;14;1;;7;2;49;1;5;;21;22;;1;1;10;8;2;16;2;10;;;2;2;1;1;4;1;;1;1;1;;;;;;3;;;;1;7;2;1;1;;;;1;;9;7;;;;;1;;5;2;5;;;2;2;;;1;1;5;2;;;3;2;1;3;3;4;1;3;;2;1;1;;;2;1;;2;5;;;15;;3;3;2;1;1;;;;5;1;1;3;;;;6;3;2;2;1;1;2;;2;;3;;3;1;;6;3;5;4;;;2;;;;;;;;
30776-4605;;30;10;6;11;11;145;;1;2;51;59;8;2;1;9;21;3;38;;28;11;;;;;;;20;2;2;;1;;;;8;3;;;4;2;;15;;9;;1;5;4;8;13;32;22;2;6;3;3;3;5;8;2;21;1;1;4;3;9;4;;;1;;;;9;3;;;;16;1;6;1;4;3;3;2;2;;6;4;1;4;2;5;44;7;12;6;4;3;3;2;4;2;3;3;1;1;6;4;;3;1;1;1;1;;8;2;3;2;1;;2;1;1;7;;4;1;;;;6;2;2;7;5;6;2;
36375-7098;1;10;;;16;5;41;1;9;;42;30;;1;1;20;4;;9;3;;;;1;1;1;1;;;;2;2;;;;;;;9;6;;;1;4;;;;;;;3;3;20;17;;3;1;;3;;1;1;4;;;;;;;1;1;8;1;;2;2;;;2;2;9;;5;;2;2;1;1;1;;2;1;;;;;28;1;7;4;2;2;1;1;;;4;3;1;;;;1;5;1;;;;1;;;1;;;;;;;1;;;;;;1;;;;;;;;
29626-4605;1;12;;2;;3;20;1;1;;8;9;1;2;2;7;7;;17;1;2;1;;1;1;1;1;4;2;1;1;1;3;;;;;2;;;1;1;;5;2;1;;1;;;1;1;3;1;;1;1;;;1;;;2;;;;;1;1;1;;1;;;;;;;;;6;;4;;2;1;1;1;;;;;;;;;5;;4;3;1;1;1;1;;;;;;;1;1;2;5;3;3;3;3;1;1;1;1;1;1;;2;1;2;3;;2;;;;1;1;;;1;1;1;1;
29497-5469;2;22;2;2;8;6;57;2;2;;27;32;;1;1;4;6;1;35;2;4;1;2;;;;;3;1;;3;2;8;;;;2;1;1;;2;1;;10;1;1;1;3;2;2;1;2;15;10;;4;1;;;;3;;15;1;;3;;;;2;2;2;;;;4;1;1;1;1;7;2;3;1;;;;;;2;1;;3;;;1;22;;6;2;;;;;;;;;2;1;;;1;;;;;;;2;1;;;8;1;2;1;1;8;;1;;1;1;;;;;1;1;1;1;
36030-7118;1;16;;;3;2;64;2;10;;44;47;3;2;1;5;4;;34;1;8;;;1;1;1;1;1;2;;2;2;2;;;;;;1;;;;1;10;1;;;2;;;1;4;22;16;3;3;2;1;2;;3;;13;;1;3;;;;2;1;10;5;;;12;3;1;6;6;5;1;2;;1;;;;;;3;2;;2;2;2;34;6;5;2;1;;;;1;1;4;2;1;4;1;1;1;1;;;;;1;1;2;;;3;;2;;;9;1;4;1;;;1;4;;4;1;;;;
24986-5469;2;16;;4;;4;49;1;;;12;12;;1;1;3;4;;66;2;33;;2;;;1;;2;1;;2;1;2;1;;;;3;;;3;3;;3;;;;1;;;;;2;1;;;;;;;;;18;;;3;;;;1;;;;;1;;;;;;5;;;;;;;;;1;;;1;1;1;;6;;2;;;;;;;;;;1;;;;1;2;1;1;;;;;1;;;;1;;;;12;;2;1;2;2;;28;;;;;;;
31535-5468;2;15;2;;4;3;59;5;;;11;19;2;2;2;9;5;;32;5;4;3;1;2;1;2;1;1;8;3;;;1;1;1;1;2;;;;;;;11;;5;;1;1;1;3;1;8;4;1;;;;;;1;;16;1;;3;1;2;1;5;2;;;;;5;1;;;;;;;;;;;;;;4;2;;;;6;9;4;;;;;;;3;2;;;;1;1;;2;1;;;;;2;1;2;1;;2;1;1;1;;7;;2;;1;1;1;1;;1;;3;1;1;
31408-4605;2;12;4;;;6;29;2;3;;13;15;1;;;;4;1;23;2;3;1;1;2;2;2;2;1;7;3;;;;1;1;1;1;;;;;;;6;;4;;;;;2;;10;7;1;;;;;;4;;15;5;2;;;;;2;2;3;2;;;7;3;1;;;;;;;;;;;;;4;2;;;;4;10;4;;;;;;;4;2;;;;;1;1;;;;;;;;2;;;;5;1;2;1;;4;;2;1;1;1;2;1;;;2;;;;
36263-5468;1;18;;2;12;8;92;2;6;;44;48;1;1;1;7;10;;38;1;11;1;1;;;;;3;;;2;1;2;1;1;1;;1;4;1;2;1;;5;2;;;;;;4;6;29;19;1;7;2;1;;;2;1;11;;1;4;;;;2;1;6;;2;3;2;1;;;;13;1;8;;6;2;1;1;;1;2;;2;2;;2;32;1;11;6;4;1;;;1;;;;2;;;;1;3;2;2;2;2;1;;1;1;1;3;1;7;6;;9;1;1;;1;1;;;;;1;1;;;
22469-7274;1;13;11;3;7;6;83;3;9;;43;54;1;4;3;28;12;1;25;1;17;19;;1;1;1;1;1;3;1;;;1;;;;3;1;2;;2;1;1;9;1;2;;1;11;3;4;3;37;22;8;;;;;;6;;13;;;2;1;13;8;3;2;9;1;1;;16;;1;1;1;1;;;;;;;;1;;8;6;;2;;13;35;15;;;;;;;7;6;;;;;1;1;3;17;14;10;8;6;1;6;4;1;;;1;;;;5;;1;;;;1;3;;;4;12;8;5;
24108-4130;2;12;;;;2;32;2;5;1;17;15;;2;2;5;9;;20;2;3;;1;1;1;;;4;2;;1;1;3;2;2;1;;;;;;;;6;3;;;1;;;1;1;8;5;;1;;;1;;3;;7;;1;2;1;;;2;1;5;;;1;1;;;1;1;3;;2;;2;1;1;;;;;;;2;;;11;1;2;1;1;1;1;;;;1;1;1;;;;2;5;2;2;1;1;1;1;2;;1;2;1;1;;2;3;;1;;2;1;1;;1;;1;;;;
31769-4604;1;29;19;5;7;8;61;3;;6;29;43;32;4;1;7;11;5;50;1;14;10;1;1;1;1;1;9;3;1;4;2;8;;;;10;5;1;;5;5;1;5;1;;1;1;5;2;;2;4;2;;2;1;1;1;14;5;1;8;;1;3;1;5;2;3;2;;;;2;1;;;;;16;;8;;4;3;3;2;2;1;4;3;3;1;2;1;20;1;10;4;2;1;1;1;2;2;8;2;5;3;24;10;1;1;;;;;1;1;4;3;1;1;;4;2;2;15;2;7;2;;;1;;6;;1;7;5;2;
27888-4130;7;23;8;1;14;4;65;7;1;;27;37;1;3;2;16;17;1;35;5;;2;4;3;3;1;1;4;;;2;1;2;;;;3;;6;1;1;;;5;2;;;;3;;2;12;16;11;;5;3;2;2;;6;1;13;;;7;3;2;2;6;2;1;;;1;;;;;;16;;8;;3;1;1;1;1;2;3;1;2;;1;1;22;;14;7;2;;;;2;;6;5;1;;;;1;6;3;2;2;1;;1;2;1;4;;2;2;;1;21;;9;1;1;1;3;;;;;;2;;
31090-4605;2;28;;6;48;14;127;2;6;2;26;32;1;4;4;13;16;;77;3;3;;1;2;;1;1;;15;7;;;;1;1;;;6;26;15;6;6;3;15;;11;;;;;4;7;22;7;5;;;;;;6;;35;2;2;9;4;;;2;;6;2;;;16;3;3;1;1;2;1;1;1;1;;;;;;3;3;;;;19;9;7;;;;;;;3;2;;;;3;1;;2;6;3;3;3;1;2;9;3;1;;3;6;2;;1;25;;6;1;1;1;;1;2;;;;;;
30989-4604;3;18;3;1;;2;58;1;;;7;11;;2;2;10;12;;29;3;;;3;;;;;;8;2;;;1;2;2;2;2;1;;;1;1;;9;;3;;;;;1;8;7;4;1;;;;1;;8;1;18;1;2;5;;;;1;;;;;;6;3;2;;;;;;;;;;;;;4;4;;;;6;7;6;;;;;;;4;4;1;1;;;;;2;3;1;1;1;1;1;8;2;2;;4;1;2;1;2;7;;1;;3;3;;;;;;;;;
31273-5388;1;9;;5;12;9;55;;2;;33;28;;1;1;3;7;;15;2;4;5;;1;1;1;1;2;;;2;2;;;;;;4;3;;4;4;;4;;;1;;;;4;4;15;11;;3;;;2;;;;3;;;1;1;3;;;;1;;;2;1;;1;;;10;;3;;3;2;1;1;1;;4;1;1;;1;;21;;8;2;1;1;1;1;;;2;2;1;;;;1;2;1;1;;;;2;;;1;;1;1;;1;4;;1;1;;;1;;;;1;3;2;;
21888-7274;2;16;2;4;;5;37;1;6;;25;28;;2;2;40;10;;29;2;;;;2;2;;;;2;1;3;2;3;;;;1;4;;;4;4;;10;;1;1;2;1;;1;1;8;7;1;2;2;1;;;3;2;6;;1;3;1;;;1;1;6;4;;1;6;;;2;2;5;;4;;2;1;1;1;;1;1;;1;;;2;19;2;5;4;2;1;1;1;;;2;1;3;;;;2;10;2;;;;1;1;1;3;1;2;;3;2;2;11;1;4;;;;2;;;;;;;;
22677-5469;2;11;9;;3;2;17;1;;;4;6;2;1;1;4;3;5;9;2;1;1;1;1;1;2;1;4;1;;;;1;1;1;1;2;;;;;;1;;;;;;6;2;1;2;2;1;;;;;;;;;1;;;;;;;1;;;;;;;;;;;2;;1;;;;;;1;;2;1;;1;;1;3;;1;;;;;;2;1;;;1;;2;;1;3;2;2;;;;;1;1;1;1;;;;;3;;;;1;1;2;;;;;;;;
27881-5388;2;13;;;32;2;50;;1;;17;17;;;;;1;;17;2;6;;1;1;1;2;1;1;6;1;;;;1;1;1;;;11;4;;;1;7;;4;;;;;2;9;7;6;3;;;;;;1;;8;2;;2;1;;;;;1;1;;;6;;2;;;1;;;;;;;;;;1;1;1;3;;2;9;4;;;;;;;1;1;;;1;2;;;;;;;;;;;;;;3;1;;;;4;;1;;1;1;1;1;;2;1;;;;
30797-4130;3;16;2;1;2;2;56;1;1;;19;27;2;2;2;19;9;;40;4;12;15;2;2;1;2;1;5;1;;;;;1;1;;1;1;;;1;1;;6;2;;;;;;1;2;11;7;;3;2;2;;;2;;13;1;;2;;9;;1;;1;;1;;2;;;;;7;1;2;1;2;1;1;1;1;1;3;1;1;;;4;15;1;4;2;2;1;1;1;2;1;;;1;;1;1;;6;4;3;1;1;2;1;2;1;2;1;1;;;;8;;;;2;1;1;;;;;11;3;1;
22418-4130;4;28;16;5;;6;153;3;5;16;50;37;33;3;2;26;21;14;63;6;32;31;4;1;;1;1;2;11;2;1;;;2;2;1;13;3;;;4;3;;7;1;2;;;11;10;3;11;3;2;;;;;;21;5;2;17;;1;3;1;22;10;2;1;5;;1;1;10;;;1;1;7;2;3;2;1;;;;1;;5;4;;3;;5;21;3;3;2;;;;;4;3;2;2;1;3;23;12;2;9;4;2;2;1;1;5;3;8;1;;3;2;;;14;;6;2;4;3;1;3;16;;;25;13;11;
21393-4605;1;10;;;15;4;81;2;3;1;17;35;;;;;3;;15;1;8;2;1;;;;;2;5;;2;;1;1;1;1;;;4;;;;;7;1;3;;;;;2;17;15;2;;;;;1;;1;;5;;2;1;1;1;1;2;1;3;;;1;1;;;1;1;6;1;3;;1;;;;1;;4;2;;;;16;8;;2;1;1;;;;1;1;1;;2;2;;;;;;;;;;2;;;;;2;3;2;;3;;1;;1;1;;1;1;2;;1;1;1;
30627-4604;;12;1;1;3;2;59;1;2;;10;12;;4;3;43;12;;37;;4;4;;;;;;1;2;;;;4;;;;1;1;2;;1;1;;10;;1;;4;;;2;;8;6;1;1;;;;;4;2;12;;;1;;3;2;1;;2;1;;;4;;1;1;1;3;;;;;;;;;;4;3;1;1;;1;9;3;3;;;;;;4;3;;;;;;;3;17;9;6;1;1;2;2;4;5;;;;;;2;3;;1;;;;;1;;;1;2;2;2;
28338-7118;;6;1;;2;2;22;1;4;;17;13;3;;;;2;1;7;;10;1;;;;;;;;;;;;;;;1;;;;;;1;;;;;;;;2;2;7;5;;3;3;2;;1;1;;4;;1;;;;;1;1;4;;;;1;;;2;2;5;1;5;1;4;2;2;1;1;;2;2;;3;1;;9;;5;5;4;2;2;1;1;1;;;;2;2;2;;;;;;;;;;;;1;;1;;;;;;;;;;;;2;2;1;;;
35796-5468;2;31;;3;9;13;120;2;;;25;36;;3;2;6;16;;46;2;30;;1;1;1;;;2;6;2;9;7;4;1;1;1;;1;2;1;2;1;3;15;2;;6;2;;;9;9;18;8;;7;6;3;;;10;;27;4;1;12;3;;;2;1;;;;1;8;;1;;;20;7;16;4;11;7;7;6;2;1;2;2;1;1;3;1;22;1;19;16;11;7;7;6;;;;;2;1;;;2;3;1;;;;1;5;3;1;1;7;3;3;2;3;18;1;6;2;1;1;1;11;;;1;;;;
28170-7118;2;14;3;;;6;28;1;;1;11;15;;2;1;21;10;;20;2;2;;2;1;1;1;1;4;3;;3;3;2;1;;;3;;;;;;;7;3;1;1;1;;;3;1;2;1;1;;;;;;3;;10;4;;2;1;;;1;;;;;;1;;;;;6;;2;;1;1;;;1;1;2;;3;;1;;10;1;6;2;1;1;;;1;;1;1;2;1;;;1;8;4;2;1;;;1;2;2;2;7;;4;2;2;7;1;3;1;1;1;1;;1;;;;;;
28450-4604;1;3;;;;1;17;3;5;;10;14;;3;1;5;5;;10;3;;;1;;;;;1;;;1;;;1;1;1;;;;;;;;1;1;;;;;;;;4;;;;;;1;;1;;4;;;3;1;;;3;;5;1;;;1;;;2;2;2;;2;;2;1;;;;;;;;;;1;4;;1;1;1;;;;;;1;1;1;;;;1;4;4;3;3;3;;1;2;1;2;;1;1;1;3;4;;1;;1;1;;;;;;;;;
22499-5388;3;13;;;;1;20;4;3;;18;21;2;1;;;2;;24;5;;;2;2;;3;2;2;;;3;3;2;2;1;1;;;;;;;;1;;;;1;;;;;5;4;;2;2;;;1;2;;5;;1;;;;;4;2;2;;;1;;;;;;7;;3;;;;;;;;1;1;;;1;;14;;7;3;;;;;;;;;2;;1;;;;;;;;;;1;;1;1;;3;2;;;;;;1;1;2;;;;;;;;
28034-4604;3;14;1;3;;6;31;1;1;;7;10;1;2;1;9;4;2;20;3;2;;;3;3;1;;2;3;1;1;1;3;1;;;1;3;;;3;3;;8;;1;;2;1;1;4;1;4;2;;2;;;1;;;;5;;;2;1;;;1;1;1;;1;1;1;;;;;7;1;3;;1;1;;;;;;;;2;;;5;;5;2;1;1;;;;;1;;2;;1;1;;3;2;2;1;;1;1;2;;;1;1;;;;6;;2;1;;;3;;;;;;;;
3597-5469;2;16;8;;;;29;3;;;10;11;;1;1;5;4;1;30;2;5;;2;1;1;1;;2;1;;;;3;2;2;2;4;;;;;;;5;;1;;;6;3;;1;4;3;1;1;;;;;1;;8;1;1;1;;;;3;1;;;;;2;1;;;;3;;1;;1;1;;;;;;;1;3;;1;6;2;2;1;1;1;;;;;;;;1;;;;1;1;;;;1;1;1;;;2;;1;;1;7;;2;2;2;2;1;1;;4;;;;;
31294-4130;2;25;13;1;46;8;139;9;8;3;79;89;1;2;1;17;20;10;96;3;10;11;2;;;1;;5;2;;1;1;5;1;;;1;1;13;4;1;1;4;12;2;1;1;1;7;;3;1;42;30;;25;16;13;1;;13;4;32;;4;7;4;7;2;8;3;7;1;2;1;17;;3;2;2;54;12;38;8;31;24;18;14;4;4;6;2;8;2;2;4;61;3;47;33;30;23;17;14;1;;3;2;4;1;1;;1;2;;;;;1;1;2;7;4;6;5;9;6;1;22;2;5;1;1;1;1;1;2;;4;4;3;1;
35884-5388;1;9;4;;;;16;;1;;3;3;;;;;1;;16;1;;;;1;1;;;;6;1;;;;;;;2;;;;;;;1;;;;;3;1;;1;1;;;;;;1;;1;;8;3;;;;;;;;1;;;;;;;;;;;;;;;;;;;1;;;;;;2;;;;;;;;;;2;1;;;;;;;;;;;;1;;;;3;;;;;1;;;;;;1;;;;;;;;
36950-5468;2;9;;;;1;25;1;1;;13;12;;2;1;3;3;;24;2;;;2;1;1;1;1;1;;;1;1;1;2;2;2;;;;;;;;2;;;;;;;;3;4;3;;2;1;;;;;;10;1;1;;;;;1;;1;;;1;1;;;;;5;;1;;;;;;;;;;1;;;;8;1;4;1;;;;;;;1;1;2;;;;;3;2;2;2;2;1;;1;;;1;1;2;;1;1;;1;1;2;2;1;;;;;;;;
31499-5388;2;18;6;7;;8;85;2;17;;66;48;5;5;4;49;20;;36;5;2;2;1;1;1;;;4;;;;;1;1;1;1;4;6;;;7;6;;4;1;;;;;;4;9;27;19;;8;1;;4;;7;3;8;;;2;1;;;2;1;15;1;4;;4;;;1;1;24;1;4;;1;1;1;;2;;4;4;1;1;;1;39;2;12;3;1;1;1;;1;1;5;4;2;;4;3;3;17;6;2;1;1;1;6;3;7;2;1;2;2;2;4;10;1;4;1;1;1;1;;;;;;1;;
36202-7274;1;8;2;;;2;24;1;;;9;13;;3;1;17;7;1;14;1;2;;;1;1;1;1;;;;1;;1;;;;1;;;;;;;5;;;1;1;1;1;;1;4;1;;;;;;;;;5;;;;;;;1;;;;;;;;;;;2;;1;;;;;;;1;2;1;2;;;2;5;;1;;;;;;2;1;1;1;1;2;;;1;6;2;;;;2;2;1;;;;;2;;2;3;1;1;;;;1;;;1;;;;;
31475-4604;2;12;6;3;;3;81;1;1;3;13;16;;3;1;2;9;1;9;2;12;14;1;2;1;2;2;4;1;;2;;1;1;1;1;3;1;;;1;1;;4;;;1;;3;1;3;1;10;6;1;1;1;;;;4;1;3;;;;;9;4;1;1;1;1;;;2;;;;;2;;2;;;;;;;;;;;1;1;;8;1;1;1;;;;;;;;;2;;;;1;1;1;;;;1;1;2;2;;2;1;;;;1;;;;1;1;1;1;3;1;7;9;9;4;
22475-4605;2;15;;4;;4;76;5;4;;27;39;;2;1;3;11;;70;2;1;;1;1;1;2;1;4;2;1;1;;3;1;1;1;;4;;;4;4;;7;2;;;1;;;1;2;16;8;;4;1;;3;;2;;23;1;;4;1;;;5;3;4;;1;3;3;1;1;2;2;14;2;3;1;1;1;1;1;3;2;3;3;6;;;4;21;1;13;2;;;;;1;;7;4;2;1;;;;;;;;;2;1;2;1;;4;2;5;1;2;13;1;3;1;1;1;2;;;;;;;;
30779-4130;3;24;25;5;8;8;50;3;4;;17;30;26;3;2;18;11;18;25;3;6;1;;2;1;3;2;5;2;;3;;1;1;;;12;2;;;4;2;;4;;;1;1;5;4;3;3;8;6;;3;1;1;;9;1;;5;;;;;1;;3;1;4;2;1;;3;1;;2;2;8;1;4;;2;1;1;;;1;1;;2;3;2;2;12;;7;3;2;1;1;;;;;;1;1;6;4;2;13;6;3;1;1;;1;3;;;;1;;;;1;;;;;;2;;;4;2;1;;;
28517-4604;4;30;;1;;1;122;6;8;;54;65;;2;1;14;12;;54;4;7;2;3;3;3;2;1;5;1;;2;2;5;2;2;1;;1;;;1;1;;14;;;1;4;;;;11;34;22;2;7;1;1;1;;5;2;20;;;4;1;2;2;6;2;8;4;;2;12;2;2;;;14;2;3;1;2;1;;;2;2;6;5;3;5;1;1;41;4;14;3;2;1;;;3;3;6;4;4;;;;1;2;1;;;;;1;1;5;2;3;;1;1;4;9;1;2;;3;2;3;1;;1;2;1;2;1;
22305-5468;2;15;3;;;1;24;2;;;8;14;2;;;;;;23;2;;;1;1;1;2;1;1;3;2;;;;1;1;1;1;;;;;;;4;1;;;;1;;1;3;3;;;;;;2;1;;;9;1;1;2;2;;;2;;;;;1;1;;;;;2;;;;;;;;;;3;;1;;1;2;7;;1;;;;;;3;;6;3;;;;;;;;;;;;;;;;2;;3;3;;6;;5;2;1;1;1;;;;;;;;
22293-7098;;4;;;11;4;18;1;5;;29;18;1;1;1;3;2;;25;;4;;;;;;;1;;;1;1;;;;;;;3;1;;;1;;;;;;;;;1;1;1;;;;;;;1;;4;;;;;;;1;1;5;1;;;1;;;2;2;5;;4;;3;3;2;;1;;3;1;1;3;;;15;;2;2;2;2;1;;1;1;2;2;;;1;1;;;;;;;1;1;;;;;1;2;1;;8;1;4;3;;;;;;2;1;;;;
21911-4130;;13;;;3;2;41;1;;;7;13;;1;1;6;4;;28;;3;1;;;;;;2;1;;1;;3;;;;;;;;;;1;6;;;1;;;;1;1;9;2;;1;;;2;;2;;11;1;1;4;;1;1;1;1;;;;;2;1;;;;1;;;;;;;;;;;;1;1;3;;3;1;1;;;;;;;;2;;2;;;;;1;1;;;;1;;1;;;3;;1;;;6;;;;;;;1;;;1;1;1;1;
31368-4130;3;19;1;1;18;5;61;1;;;18;19;1;;;;1;;30;3;8;5;2;1;;1;1;1;5;1;;;1;1;1;1;;;4;2;1;;2;8;1;2;;;;;2;2;11;10;3;3;1;1;;;;;12;1;;2;1;2;;1;1;;;;;8;5;;;;7;2;1;;1;1;;;1;;3;1;;1;;1;17;7;7;1;1;1;;;3;1;;;;1;;;;;;;;;;1;;;;2;2;1;;;7;;3;2;2;2;;;;2;;4;1;1;
36093-7274;1;7;;;;;25;1;;;9;12;;2;2;16;8;;13;1;;;;1;1;1;1;1;;;3;2;;;;;;;;;;;;2;;;;;;;;1;2;;;;;;;;2;;7;;;1;;;;1;1;;;;;;;;;;1;;1;;1;1;;;;;2;;;;1;2;5;;;;;;;;1;;2;1;1;;;;2;6;4;3;3;1;1;5;1;;;;;;;;2;;;;;;1;;;;;;;;
35983-5468;3;23;6;;10;7;44;1;6;;47;41;5;1;1;3;4;4;23;2;5;;1;1;1;1;;2;;;6;5;;;;;4;;3;;;;;1;;;;;2;1;3;12;15;12;;1;;;;4;1;1;5;;;1;1;;;1;;6;;2;1;;;;;;11;;8;;5;2;1;;1;1;2;1;3;;1;;28;;7;5;3;1;1;;1;1;5;3;;5;3;1;1;3;3;3;3;1;1;;1;2;1;1;2;;;1;4;;2;1;1;1;1;;;5;1;;;;
31438-4130;3;18;;5;;5;54;1;;;12;14;;3;1;15;16;;43;3;;;2;1;1;;;2;2;;1;1;1;1;1;1;;3;;;3;2;;4;1;;;1;;;1;21;3;1;;1;;;;;8;4;16;;;8;3;;;1;;;;;;1;;;;;6;;3;;3;3;3;;;1;;;1;;;1;7;;4;2;2;2;2;;;;2;1;1;;;;1;4;3;3;3;2;1;2;3;6;3;;1;4;1;3;14;3;5;2;2;2;1;;;;;;;;
13190-5468;1;15;;;;;58;1;8;;16;13;5;1;1;5;2;;19;1;1;;;1;1;1;1;1;2;1;3;1;2;;;;;;;;;;;1;;;;;;;;1;5;2;;1;;;;1;1;;7;;;2;1;;;1;;8;1;;;1;;;;;1;;;;;;;;;;1;;;1;3;2;4;;1;;;;;;;;;;1;;;;1;3;2;2;2;2;;1;1;;;2;;1;;;10;1;6;3;;;1;;;;;;;;
31167-4130;3;28;1;9;28;13;79;2;8;;48;32;4;4;2;5;13;5;54;3;;;2;1;1;1;;1;9;2;1;;3;2;1;1;;7;9;5;6;5;2;10;;3;1;1;;;3;1;10;8;1;1;;;;;7;2;12;1;;4;1;;;2;1;8;4;;2;14;1;;1;1;13;2;7;1;5;1;;;2;;5;3;2;;;4;24;2;9;6;5;1;;;2;1;1;1;1;;3;3;2;;;;;;;3;3;2;;4;2;1;;;14;;4;2;1;1;1;;;;;;;;
22507-4130;1;9;;1;5;2;59;1;3;1;15;14;12;1;1;5;5;3;25;2;7;9;;1;;;;;1;;1;1;1;;;;;1;;;1;1;1;7;;;1;1;;;1;;6;3;2;;;;;8;2;;9;;;2;1;5;3;1;;3;1;1;;4;;;;;3;;1;;;;;;;;2;1;;1;;1;9;3;1;;;;;;2;1;;;;;3;3;1;3;1;;;;;2;1;2;;1;4;1;1;;11;1;5;1;;;;1;1;;;5;6;4;
35513-5469;1;23;;3;1;8;54;1;;;7;27;;2;1;2;14;;26;1;6;1;;1;1;1;1;4;5;1;7;2;5;;;;;2;;;2;2;;12;2;3;2;1;;;2;4;12;4;;4;1;1;;;5;;17;1;2;8;5;;;1;;;;;1;2;1;;;;5;1;1;1;1;;;;1;1;1;;1;;6;2;6;;5;1;1;;;;;;2;;5;;;;1;2;2;1;1;1;1;2;2;;2;3;8;3;;3;12;;5;3;;;1;2;;;2;;1;;
31698-7274;3;11;;2;;2;17;1;1;;4;5;;1;1;7;2;;2;3;3;4;2;1;1;2;1;3;2;;2;2;;2;1;1;;1;;;2;1;;8;2;;1;;;;;;3;2;;;;;;;1;;1;;;;;;;;;1;1;;1;2;;;1;1;;;;;;;;;;;1;;;;1;;4;1;;;;;;;1;;;;;;;;1;1;;;;;1;1;1;;;;1;;;;;;;;1;1;2;;;;1;2;2;2;
36279-7098;1;5;;;;;12;1;1;;8;10;;2;;;2;;23;1;;;1;1;1;1;;1;;;1;;;1;1;1;;;;;;;;2;;;;;;;;;;;;;;;;;;;3;;;2;1;;;1;;1;;;1;;;;1;1;5;;3;;3;3;2;1;1;;2;2;;;;;3;;2;1;1;1;;;;;1;1;1;;;;;;;;;;;;2;;;;;;;1;6;;1;;1;1;1;;;;;;;;
30743-4605;3;12;3;;14;5;46;1;2;1;19;18;;1;1;3;5;;27;2;1;1;2;2;1;2;2;2;4;2;1;1;1;;;;3;;;;;;;3;;2;;1;1;1;2;1;3;2;;1;1;1;;;2;;13;1;1;3;;;;1;;2;;1;;1;;;;;6;;3;;2;1;;;1;;2;1;;;;;10;;3;2;1;1;;;;;2;1;1;;;;;1;;;;;2;2;;1;1;1;;4;1;1;4;1;;;1;1;1;;1;;;1;1;1;
22440-4604;3;15;5;4;2;4;24;1;;;6;7;;2;1;7;7;7;15;2;1;;1;1;1;2;1;;5;;;;1;1;1;1;3;3;1;1;3;2;1;5;;3;;1;2;1;1;1;3;3;2;;;;;;;;5;;;2;1;;;1;1;;;;;4;;3;;;1;1;;;;;;;;;2;;;;;;6;3;1;;;;;;2;;;;;;;;1;2;2;1;1;1;1;3;2;2;;;;;;;6;;4;3;1;1;1;;;;;;;;
15396-5469;2;13;1;;;;24;;;;;;;2;1;4;7;;10;2;1;1;1;1;1;1;1;2;1;;;;3;1;;;;;;;;;;7;2;;;2;;;;1;;;;;;;;;3;;2;;;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;3;2;1;1;1;1;1;2;;;1;;;;1;2;;2;1;1;1;1;;;;1;1;1;1;
