aluno;1>;2>;3>;5>;6>;7>;14>;16>;17>;29>;30>;31>;32>;33>;34>;36>;38>;39>;41>;46>;48>;49>;1>2>;1>46>;1>46>2>;2>1>;2>1>46>;2>2>;2>14>;2>31>;2>31>30>;2>31>30>30>;2>41>;2>46>;2>46>1>;3>2>;5>5>;6>6>;7>5>;7>5>5>;7>6>;14>2>;14>2>2>;14>2>14>;14>2>31>;14>2>41>;14>3>;14>3>2>;14>7>;14>14>;14>31>;14>31>30>;14>31>30>14>;14>31>30>30>;14>31>30>30>30>;14>31>30>30>30>30>;14>31>31>;14>38>;14>38>36>;14>41>;14>41>2>;14>41>31>;14>41>41>;14>41>41>41>;14>49>;16>31>;16>31>30>;17>30>;17>30>14>;17>30>30>;30>2>;30>14>;30>14>2>;30>14>31>;30>14>31>30>;30>14>41>;30>17>;30>17>30>;30>30>;30>30>14>;30>30>30>;30>30>30>14>;30>30>30>30>;30>30>30>30>30>;30>30>30>30>30>30>;30>30>30>30>30>30>30>;30>30>31>;30>30>41>;30>30>48>;30>31>;30>31>30>;30>41>;30>48>;31>2>;31>14>;31>30>;31>30>14>;31>30>17>;31>30>17>30>;31>30>30>;31>30>30>30>;31>30>30>30>30>;31>30>30>30>30>30>;31>30>30>30>30>30>30>;31>30>30>30>30>30>30>30>;31>30>31>;31>30>31>30>;31>30>48>;31>31>;31>31>30>;31>41>;31>48>;32>31>;34>38>;36>14>;36>34>;36>36>;36>36>34>;36>36>36>;36>36>36>36>;36>36>36>36>36>;36>36>36>36>36>36>;36>36>36>36>36>36>36>;36>38>;38>14>;38>33>;38>36>;38>41>;41>2>;41>14>;41>31>;41>31>30>;41>38>;41>41>;41>41>31>;41>41>41>;41>41>41>41>;41>41>41>41>41>;46>1>;46>1>2>;46>2>;48>14>;48>30>;48>48>;49>48>;49>49>;
13511-6389;2;13;;;4;3;82;4;9;2;45;45;1;3;3;27;11;;42;3;21;;1;1;1;1;1;2;1;1;1;;2;1;1;;;;;;2;8;2;1;;;;;2;1;27;16;3;2;;;2;2;;20;;2;3;1;;4;2;7;;2;1;6;3;2;2;;4;4;9;1;2;;;;;;1;1;1;3;2;2;14;;2;34;3;3;3;7;;;;;;;;10;2;2;1;3;;1;1;2;11;2;6;4;2;2;1;3;1;2;2;;;1;2;1;;6;;1;1;1;1;1;1;7;1;5;;;
36143-5468;6;30;5;1;1;2;44;4;7;;32;29;3;2;1;9;9;;50;6;6;;2;4;3;2;1;4;2;4;2;1;5;2;1;2;1;;1;1;1;7;;;;3;1;1;2;1;4;4;;2;1;;;2;;10;4;;2;;;4;3;7;2;2;;8;;;;4;1;1;13;4;9;2;6;4;3;1;3;;;6;4;1;;2;1;22;3;1;1;11;6;4;4;3;1;;;;1;1;1;2;1;;;1;2;;;;;;;1;1;2;;2;5;;4;1;2;9;1;1;1;;2;2;3;2;2;1;;;
36526-5388;;15;1;;16;2;73;2;8;2;42;44;;1;1;3;8;;29;;28;;;;;;;1;;3;3;2;1;;;;;7;;;1;6;;;2;;1;;1;2;27;19;;5;1;1;2;3;;9;1;;1;;;2;2;8;;1;;3;;1;;1;3;3;14;2;2;;2;2;1;1;1;1;2;1;1;2;10;2;1;36;1;3;3;13;2;2;2;1;1;;;5;2;2;1;3;;1;;1;2;1;1;1;1;;;;;;;3;1;;3;2;2;5;;1;1;1;;;;3;1;5;;;
27934-7098;1;10;;;;;51;1;6;;27;29;4;2;1;2;5;;27;1;5;1;;1;1;1;1;1;4;2;1;;1;;;;;;;;;7;;2;2;1;;;;2;14;6;;1;;;2;3;;13;;;5;2;;1;;6;1;;;6;2;2;1;1;3;3;5;;4;;1;1;;;;;1;4;3;;2;;2;16;1;1;1;4;3;;;;;1;1;1;2;2;1;;4;;;1;2;1;2;1;;;;1;;1;;2;;1;3;1;;8;1;4;;;;;1;4;;;;1;
36342-6398;;10;;1;;2;66;3;12;;47;45;;1;1;18;9;;20;;1;;;;;;;;4;;;;;;;;1;;1;1;;9;;3;;;;;1;5;28;25;7;1;;;1;4;2;11;;1;3;1;;3;;12;4;;;13;2;2;2;2;2;2;1;;;;;;;;;;;9;8;1;;;9;37;9;2;2;1;;;;;;9;8;;1;1;;;;;;1;10;;7;5;1;;;1;5;;2;;;2;1;1;1;5;;1;;;;;;;;;;;
31113-6388;1;13;;1;;1;36;;2;;4;12;;3;3;18;7;;28;1;;1;1;;;;;1;8;;;;;1;1;;1;;1;1;;10;1;3;;;;;1;7;7;2;1;;;;1;3;1;18;2;1;8;1;1;;;;;;;4;;;;4;;;1;1;;;;;;;;;;2;2;;;;3;4;3;;;1;;;;;;2;2;;1;;1;;;1;2;1;9;;3;2;1;1;;2;1;3;2;;3;2;3;1;;12;1;2;1;;1;1;;;;;;;
15818-5469;2;17;;1;2;8;40;1;;;9;17;;1;1;7;4;;44;2;1;;;1;1;1;;5;;4;3;2;4;2;2;;1;;1;1;;7;3;;;;;;1;2;5;2;;1;;;;1;;10;1;;3;;;1;;;;;3;;;;;;;;5;;3;;2;;;;;1;;2;1;1;;1;;7;;;;5;3;2;;;;1;1;;;;2;1;;;;1;1;;;;;;;1;;;;;3;1;1;;;8;1;2;;;2;;1;;1;;;;
35715-5714;1;12;;2;;3;68;;3;;9;10;;3;2;41;11;1;15;1;1;;;1;1;1;1;2;1;1;1;;1;;;;2;;2;2;;6;1;1;;;;;2;10;4;1;;;;;;6;3;4;;;;;;;;3;;2;;2;;1;1;;;;4;1;;;;;;;;;1;;;;1;;4;4;1;;;1;;;;;;;;;;;;;;1;2;1;13;1;9;7;6;3;2;1;2;1;4;;;;;;;;;;;;1;;1;;;;;;
35675-5388;2;27;5;2;42;9;181;2;10;1;91;85;13;2;1;4;9;2;87;4;11;2;;2;2;2;1;8;7;1;1;;2;1;1;3;2;22;2;2;3;9;4;1;;;4;2;4;6;43;30;2;4;2;;1;4;1;33;;1;4;;;2;1;9;1;;3;13;1;2;1;3;1;;16;2;8;2;2;1;1;;2;;;5;5;;4;3;4;65;6;1;;13;6;;;;;2;2;4;3;2;5;3;13;;;1;;;;;;;;1;1;2;3;1;1;3;5;4;;15;1;2;;;1;;2;1;4;;;2;
33396-6388;;9;;6;21;10;54;;7;;20;28;1;2;1;2;7;;26;;18;;;;;;;2;2;1;1;1;;;;;4;11;5;3;2;6;2;;;;;;6;2;14;9;1;3;2;;;3;;10;1;;3;2;;;;5;3;1;;6;2;1;1;2;3;3;7;2;5;2;3;2;;;1;;2;2;1;;5;1;;18;2;1;1;7;3;1;1;;;;;3;;;2;2;1;;;1;2;1;1;1;1;1;1;1;4;1;;;1;1;;;1;5;;2;2;2;;;;6;3;5;;;
22788-5468;1;22;1;3;6;8;106;2;20;1;87;73;1;2;1;11;7;3;58;1;5;;;1;1;1;1;6;2;4;2;1;4;;;;1;4;3;1;;7;2;;3;1;;;3;7;27;22;;21;14;12;;3;1;18;;;6;2;;2;2;20;1;16;2;13;;;;1;3;3;68;10;33;3;22;14;10;10;9;3;1;14;9;4;2;2;4;58;2;1;1;44;24;17;13;9;9;3;2;;4;3;4;1;;1;1;1;4;1;2;1;1;1;1;;1;;1;1;3;3;1;1;;16;1;4;3;2;;;1;;;;;;
36456-6388;3;26;1;;6;6;69;;4;;29;47;1;5;2;12;18;;50;3;6;;;3;3;2;2;2;3;3;3;1;5;;;;;1;;;2;9;;;2;3;;;1;;23;11;;7;2;2;2;9;2;6;;1;1;;;;;3;1;;3;3;1;;;1;;;19;2;10;1;6;2;;;;6;2;3;2;6;2;;2;26;;;;18;9;6;2;;;1;1;;4;4;3;1;;1;4;;5;;2;1;1;1;1;2;;5;6;3;3;1;5;3;2;17;;4;;;;;3;;;2;;;
31354-5714;4;8;1;;;;16;;1;1;2;4;;;;;3;;14;3;11;;3;2;1;2;2;;1;;;;;1;;;;;;;;4;;;;;;;;1;1;1;;;;;;1;;6;;;2;;;;;1;1;;;2;;;;1;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;1;;;2;;;;;;;;;;;;;;;;1;1;;;;2;5;;3;1;;2;2;2;;;6;;;
31556-5388;4;35;14;7;24;10;135;3;2;5;46;43;5;4;2;27;21;3;68;4;21;13;2;1;1;2;1;4;9;;;;3;2;2;7;6;8;4;4;;9;2;2;;1;10;4;3;11;15;5;3;;;;1;4;2;27;2;;5;3;8;3;1;2;2;;;31;1;2;;6;1;1;1;;;;;;;;;;1;1;;;3;2;9;11;6;;;;;;;;;1;;;5;1;2;8;5;2;2;1;13;1;8;6;5;5;5;;2;4;11;2;7;1;1;;;15;1;9;4;3;2;2;1;3;4;2;9;11;
36278-7274;1;15;;;;;61;1;12;;49;35;;3;2;16;20;;46;3;8;;;1;1;1;1;2;1;4;2;1;1;;;;;;;;;4;1;;1;;;;;1;13;10;;;;;1;6;;20;1;;8;4;;1;;11;1;3;1;4;;2;2;1;;;12;1;3;;1;;;;;;1;;;2;3;;;22;1;;;3;;;;;;;;1;4;4;3;5;;1;1;2;6;1;1;;;;;1;7;2;2;1;3;3;2;;5;15;1;7;4;;;;1;;7;;;;
35951-5469;1;8;1;;;;24;1;;;6;5;;2;1;6;9;;20;1;;;1;;;;;2;2;1;1;1;1;1;1;1;;;;;;4;1;;;;;;;;2;1;;;;;;7;2;6;;;;;;1;1;;;;;1;;;;;;;1;;;;;;;;;1;;;;1;;;;3;;;;1;;;;;;;;;;;1;;;;;1;2;1;2;1;1;1;1;1;1;2;2;1;1;;;;1;4;;;;;1;1;;;;;;;
35973-6398;;16;;3;;3;69;2;1;;17;23;;2;1;2;6;1;18;;5;;;;;;;4;;2;;;5;;;;2;;3;2;;7;2;;1;1;;;1;3;13;8;;3;2;2;1;2;;7;;;3;1;;2;1;1;;;1;3;;1;;1;;;5;2;4;2;3;2;2;2;;;;1;;1;;;1;14;;;;4;3;2;2;2;2;1;;;3;3;2;2;;1;;1;2;1;2;2;2;2;2;;;2;1;4;5;1;3;1;3;10;3;8;5;3;;;;;;;;;
36264-6388;;17;;1;8;8;59;1;7;;32;45;;5;5;16;18;;36;;13;;;;;;;5;2;4;3;2;;;;;1;1;1;1;;6;3;1;1;;;;4;2;21;12;;5;4;2;1;6;;14;2;3;3;1;;1;;6;1;2;2;3;1;;;1;;;14;2;8;;3;2;1;1;2;1;4;2;;3;6;2;2;26;;;;12;8;3;2;1;1;;;1;2;2;3;4;;1;;4;8;3;3;2;1;;;4;5;5;1;1;3;2;4;;4;12;;4;1;1;;;;1;2;6;;;
28178-6398;1;12;17;;;;39;1;;;7;14;;3;2;3;5;3;11;1;4;3;;1;1;1;1;3;2;1;1;1;1;;;3;;;;;;3;;1;1;;15;3;;2;5;2;1;;;;;1;;1;;;;;1;1;1;;;;1;2;;1;;;;;4;1;2;1;1;;;;1;;;1;1;;;;;7;1;;;4;2;1;;;;1;1;;;;1;;;1;;2;1;1;1;1;1;1;1;1;2;2;2;;;;2;;1;1;;1;1;1;;;1;;;;3;2;
35759-6388;2;9;;;;;12;1;1;;2;5;;;;;1;;18;3;1;;1;2;2;2;1;;;1;;;;;;;;;;;;4;;;1;;;;;2;;;;;;;;;;3;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;1;;;;;;2;;1;1;1;;;2;;1;;;;
36483-7274;1;10;;;;;65;2;10;;30;36;;1;1;4;9;;7;2;11;6;1;;;;;3;1;1;1;;;1;1;;;;;;;6;3;;;;;;;5;27;17;2;11;5;2;1;5;;3;;1;;;4;2;;10;3;2;;10;;1;;;7;7;19;4;8;1;3;;;;2;;3;3;2;1;4;2;3;24;3;1;1;16;7;3;;;;1;1;1;4;2;;;;1;;1;1;;1;1;1;1;1;;2;;1;;;;3;1;;2;1;1;1;;1;1;;;2;2;6;5;
