aluno;1>;2>;3>;5>;6>;7>;14>;16>;17>;29>;30>;31>;32>;38>;41>;46>;48>;49>;2>2>;2>2>31>;2>2>41>;2>14>;2>14>2>;2>14>31>;2>31>;2>31>30>;2>31>30>30>;2>31>30>30>30>;2>41>;3>2>;5>5>;6>6>;6>6>6>;7>5>;7>5>5>;7>6>;7>31>;14>2>;14>2>2>;14>2>14>;14>2>31>;14>2>31>30>;14>3>;14>3>2>;14>7>;14>14>;14>14>31>;14>31>;14>31>14>;14>31>30>;14>31>30>14>;14>31>30>30>;14>31>30>30>30>;14>31>30>30>30>30>;14>31>30>30>30>30>30>;14>31>31>;14>31>41>;14>41>;14>41>2>;14>41>31>;14>41>41>;14>41>41>41>;14>49>;16>31>;16>31>30>;17>30>;17>30>14>;17>30>30>;30>2>;30>14>;30>14>2>;30>14>31>;30>14>31>30>;30>14>41>;30>17>;30>17>30>;30>30>;30>30>2>;30>30>14>;30>30>30>;30>30>30>14>;30>30>30>30>;30>30>30>30>30>;30>30>30>30>30>30>;30>30>30>30>30>30>30>;30>30>30>30>30>30>30>30>;30>30>31>;30>30>41>;30>30>48>;30>31>;30>31>30>;30>31>30>30>;30>41>;30>48>;30>48>30>;31>2>;31>14>;31>14>41>;31>30>;31>30>14>;31>30>17>;31>30>17>30>;31>30>30>;31>30>30>30>;31>30>30>30>30>;31>30>30>30>30>30>;31>30>30>30>30>30>30>;31>30>30>30>30>30>30>30>;31>30>30>30>30>30>30>30>30>;31>30>31>;31>30>31>30>;31>30>48>;31>31>;31>31>30>;31>41>;31>41>41>;31>48>;31>48>30>;32>31>;32>31>30>;41>2>;41>2>2>;41>14>;41>31>;41>31>30>;41>31>30>30>;41>41>;41>41>2>;41>41>31>;41>41>41>;41>41>41>41>;41>41>41>41>41>;48>14>;48>29>;48>30>;48>48>;49>48>;49>49>;49>49>48>;49>49>49>;
19260-6389;;8;;1;;3;21;1;4;;14;14;;1;3;;;;2;1;;2;1;1;2;2;;;1;;1;;;1;1;;;5;2;1;;;;;1;3;;9;;4;;1;1;1;1;;;1;;;1;;;1;1;4;1;;;4;;3;;;1;1;4;;2;1;1;1;1;1;;;;;;3;2;;;;;4;;;10;1;;;4;1;1;1;1;;;2;1;;1;;;;;;;;1;;;2;;;1;;1;;;;;;;;;;;;
17874-5388;;12;;2;;4;30;1;3;1;18;18;;2;13;;9;4;4;;2;1;;;3;3;1;;3;;2;;;2;2;;;4;1;1;;;;;2;;;4;;4;;3;1;1;1;;;3;1;;1;;1;1;1;3;;1;1;4;1;1;1;1;;;8;;4;4;3;4;3;2;1;1;1;;;4;4;3;2;1;;;;;15;;;;8;4;4;3;2;1;1;;;;;;1;;;;;;3;;;1;1;;5;1;1;3;1;1;2;1;;3;4;4;4;1;
22554-6398;1;4;;;;;12;1;;;4;4;;;9;1;3;;;;;2;;;;;;;;;;;;;;;;1;;;;;;;;;;2;;2;;1;;;;;;4;;;2;1;;1;;;;;;1;;;;;;;1;;;;;;;;;;;;;;;;;2;;;;;2;;;;1;;;;;;;;;1;;;;;2;2;;;1;;;2;;;3;1;1;1;1;;1;;2;1;;;;;
28231-6388;;4;;;;;15;;5;;4;15;;;5;;2;;2;;1;;;;;;;;1;;;;;;;;;1;1;;;;;;;;;7;;2;;1;;;;;;3;;;1;1;;;;2;;;;2;;;;1;1;1;2;;2;1;1;1;;;;;;;;1;1;1;;1;;1;;;3;;;;2;1;1;;;;;;;;1;;;;1;;;;;;;2;1;1;2;;1;2;1;;;;;;;;;;
18875-7118;;14;;;;2;38;1;7;;20;25;1;2;21;;2;;6;2;;;;;6;5;5;5;1;;;;;;;;1;8;4;;2;1;;;;2;1;14;1;10;1;8;7;2;1;1;;7;;;3;2;;;;7;4;2;1;10;3;3;1;1;3;3;12;1;5;11;4;6;5;4;4;4;1;1;1;1;1;1;2;1;1;3;1;1;16;1;1;1;11;11;6;5;4;4;3;;;;2;2;2;;;;;;1;;;4;;;6;;1;3;;;;;1;;;;;;
36357-5388;;10;;3;1;4;16;;1;1;10;8;;;9;;1;;;;;;;;1;1;1;;;;3;1;;3;3;1;;5;;;;;;;3;;;3;;2;1;1;1;1;;;;6;1;1;2;1;;;;1;1;;;4;2;;;2;;;4;;2;1;1;1;;;;;;1;;;;;1;;;;1;;6;1;;;4;1;1;;;;;;;;;;1;;1;;;;2;;;2;;;3;1;1;1;;;;1;;;;;;;
31155-5469;;4;;;;;14;1;;;3;5;;;7;;;1;1;;;1;;;;;;;;;;;;;;;;2;;;;;;;;1;;1;;;;;;;;;;3;1;1;;;1;1;1;;;;;;;;;;;;1;;;1;;;;;;;;;;;;;;;;;1;;1;;;;;;;;;;;;;;;;1;;;;;;2;1;;3;;;1;;1;1;1;;;;;;;1;;1;
10786-5469;;5;;;;;10;1;2;;5;10;;1;2;;;;3;2;;;;;3;1;1;;1;;;;;;;;;4;2;;1;1;;;;1;1;4;;;;;;;;;1;;;;;;;1;1;2;1;;;2;2;;;;;;2;;1;1;;;;;;;;;;2;2;1;;;;1;;;4;1;;;2;1;;;;;;1;1;;1;;1;;;;;;;;;;;;1;;;;;;;;;;;;;;
35870-5469;;5;;;4;2;17;2;;;4;5;;;7;;;;;;;2;1;;;;;;;;;1;;;;1;;3;;1;;;;;1;;;4;1;2;1;;;;;1;;3;;;1;1;;2;1;;;;;3;;2;1;;;;;;;;;;;;;;;;;;;;;;;;2;;4;3;;;;;;;;;;;;;2;;;;;;;;1;;;;;;2;1;;1;1;1;;;;;;;;;
31471-5468;1;13;1;;11;1;43;1;6;;19;16;;;22;1;;;1;;1;4;1;;;;;;1;;;4;2;;;1;;7;;3;;;1;;;2;;8;;7;3;2;1;;;;;14;2;1;2;;;1;1;6;4;1;;7;1;4;3;3;;;5;;;2;;1;;;;;;1;;;;;2;;;;1;1;11;4;;;3;2;1;;;;;;;;;;1;;;;;;4;1;;1;1;1;4;;;;;;;;;;;;;;
23725-5468;;8;1;3;;5;22;1;3;10;14;15;;1;15;;11;2;2;;;2;1;1;;;;;1;1;2;;;2;2;;2;4;1;;;;1;1;1;6;2;5;;1;;;;;;;;5;;;4;2;;1;;3;;;;1;;;;1;;;2;;;2;;;;;;;;;1;;;;;1;;;3;1;4;1;;;1;1;;;;;;;;;;;;;6;;;;2;;1;1;;;8;2;1;4;4;;;10;;1;2;1;1;;
36379-5469;1;33;5;1;1;2;51;1;;;20;30;;;21;1;13;12;7;2;;5;2;1;6;3;2;2;3;5;1;;;1;1;;;13;2;1;2;1;;;2;1;;16;1;6;;4;2;;;;3;9;4;1;2;;8;1;1;;;;2;4;2;2;1;;;;12;2;2;8;2;5;4;3;3;1;;;1;1;;;;1;;4;1;;13;;;;9;7;4;3;3;3;1;;;;1;1;4;1;;;;;8;2;;2;1;1;4;1;;;;;;;;2;9;1;;1;
35529-5388;;2;;;;2;8;;2;;8;7;;;8;;;2;1;;;;;;;;;;;;;;;;;;1;2;1;;;;;;1;;;3;;3;3;;;;;;;2;;;;;2;;;2;;;;4;1;1;1;1;;;;;;;;;;;;;;;;2;2;;;;;;;;6;4;;;;;;;;;;2;2;;;;1;;;;;;;;;;;;1;;;1;;;;;;;;2;;1;
13142-6388;;12;;;2;2;49;;7;3;23;40;2;;6;;8;4;3;2;;3;1;;4;3;1;;;;;;;;;1;;8;3;;1;1;;;2;2;;25;;12;2;1;;;;;;2;;;;;3;;;4;1;;1;4;2;1;1;;;;3;;;;;;;;;;;;;;;;1;1;;;3;;17;2;;;3;;;;;;;;;1;;;;;3;1;2;1;1;;;;;;;;;;;;3;3;1;2;2;1;;1;
31958-7274;;8;;;;;19;1;7;;17;17;;;9;;;;3;;1;;;;1;1;;;1;;;;;;;;;4;2;;1;1;;;;1;1;11;;6;;;;;;;;1;;;;;;1;;7;1;1;1;1;1;;;;1;1;4;;;1;;;;;;;;;;2;1;1;;;;1;1;1;10;;;;2;1;;;;;;1;;;1;1;;;;;;;1;;;1;;;6;1;1;5;3;1;;;;;;;;;
13005-6398;;7;1;;;1;12;1;;;4;4;;;13;;3;1;2;1;;;;;1;;;;;;;;;;;;1;1;;;;;1;;;;;1;;;;;;;;;;6;;;3;1;;1;;;;;;;;;;;;;1;;;1;;1;1;1;1;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;1;1;2;2;;;;;1;1;;;4;;1;1;;;;;2;;1;1;1;1;
35982-7118;;15;;2;10;3;42;1;4;;25;28;;1;20;;4;;3;;;;;;3;2;2;1;3;;2;3;1;2;2;1;;6;2;;1;;;;;6;1;14;;9;;3;3;1;1;1;;6;2;1;1;1;;1;;4;1;3;;4;;;;1;2;2;9;;2;6;1;2;2;1;1;;1;;;1;1;;2;2;;2;;;18;;2;2;5;4;2;2;1;1;;;;1;4;2;2;;1;1;;;4;1;;2;;;5;;;3;2;;;;1;;;;;;
35989-5388;1;19;1;;6;5;51;2;5;;28;27;1;;35;1;9;4;1;1;;2;1;1;6;6;;;3;1;;;;;;1;;13;1;;5;5;;;2;1;;11;;9;1;1;1;;;;;13;1;1;4;;1;2;2;5;1;1;1;5;1;;;3;3;3;3;;1;2;1;1;1;1;;;;;;3;1;;2;7;1;1;;;22;2;3;3;2;2;1;1;1;;;1;;5;;;;;;;1;;2;;;3;2;;10;;;1;;;1;;1;3;1;1;;1;
34532-7118;;7;;;16;4;41;2;6;;25;29;2;;19;;9;1;;;;2;;2;2;1;;;1;;;3;1;;;;;5;;2;;;;;2;2;;20;;13;2;1;;;;;;8;;1;;;;2;2;6;;4;2;3;1;1;1;;1;1;7;1;1;2;;;;;;;2;;;2;1;1;;3;;;2;2;18;2;;;3;2;;;;;;1;1;2;;;;;3;;2;;1;;;3;1;1;1;;1;;;;3;;;2;1;;;;
23953-6388;1;12;;;10;3;37;;2;2;5;11;2;;13;1;4;;3;;;1;;;2;;;;1;;;3;1;;;1;;5;2;;1;;;;1;2;;3;;2;;2;;;;;;1;;;;;;;;;;;2;;;;;;;;5;2;;2;;1;;;;;;1;;;;;1;;;;;;3;;;;3;1;1;;;;;;;;1;;;;2;1;;;2;;1;;;;2;;;;;;;2;1;1;;;;;
36026-6389;1;5;1;;3;5;28;2;2;1;13;14;3;;16;1;3;;1;;;;;;;;;;;1;;1;;;;1;1;1;1;;;;;;3;1;;7;1;5;2;1;;;;1;;8;2;;3;3;;1;1;2;;;;4;;;;;2;2;2;;;;;;;;;;1;;;1;;;1;1;;;2;;10;4;1;1;2;;;;;;;;;;1;;;;;;;;2;;;3;3;1;3;;;3;;;;1;;2;;;;;
18523-7274;;16;;;6;3;34;1;4;1;41;35;1;;23;;15;;;;;;;;4;2;;;;;;1;;;;;1;6;;;2;1;;;2;1;1;11;;10;;4;1;1;;1;;10;1;1;4;2;;1;;4;1;1;1;4;2;2;2;1;;;15;;1;5;;4;2;2;1;1;2;1;7;4;2;;1;13;6;1;1;;25;2;;;9;2;1;;;;;1;1;5;4;3;1;1;1;1;1;;2;;;4;1;1;11;1;2;4;;;;1;7;1;;;;;
18399-6388;;6;;;;;9;;1;;;4;;;;;;;3;;;2;1;;1;;;;;;;;;;;;;5;2;2;1;;;;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28126-5468;;4;;;;;10;1;;;22;17;;;6;;13;;1;1;;;;;2;1;1;;;;;;;;;;;;;;;;;;;1;;5;;3;;1;;;;;;3;1;1;;;;1;1;;;;;2;;2;2;;;;11;;;4;;1;;;;;;2;5;;;;2;10;4;1;1;;9;1;;;5;;;;;;;;;1;;;1;1;2;2;;;2;;;2;1;1;2;1;;;;;1;;7;2;;;;;
36453-7274;;4;3;2;;3;13;;;3;2;6;2;;2;;20;;2;1;;;;;1;;;;;1;;;;2;;;1;1;1;;;;2;1;;4;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1;;;2;;;;;;;;;;;;;1;1;;;;2;;2;1;;;;;;;;;;;;;9;3;;4;;;;;
31430-5468;1;11;2;;8;1;23;4;6;;20;17;1;;10;1;2;;1;;;2;;2;1;;;;2;2;;1;;;;1;;6;;1;;;1;1;;1;;12;1;9;1;5;2;1;1;1;1;4;;;1;;;4;2;6;3;;1;6;2;1;;3;1;1;7;;1;3;1;1;1;1;1;;;;;2;2;1;;;;1;3;;15;2;;;7;3;1;1;1;1;;;;;1;1;1;;;;1;1;1;;;1;;;3;;;;;;;;;;;;;;
31270-6388;;7;1;1;;2;46;;3;;;7;;1;15;;1;3;;;;1;1;;;;;;;1;1;;;1;1;;;5;;1;;;;;2;6;;3;;;;;;;;;;11;;;4;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;1;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;5;;;2;1;;1;;;;1;1;;;
31666-5468;;5;;;1;2;21;;1;1;5;4;;;11;;4;3;;;;;;;;;;;;;;;;;;;;2;;;;;;;2;1;;1;;;;;;;;;;8;1;;3;1;2;;;1;;1;;1;;;;1;;;2;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;1;;1;1;;;4;;1;1;1;1;1;1;1;;2;2;1;1;
37620-5468;1;8;;;;2;16;1;5;1;13;17;1;;9;1;1;1;2;;1;;;;1;1;1;1;1;;;;;;;;;2;1;;;;;;2;;;3;;1;;1;1;1;1;;;2;;;;;;1;1;5;1;;1;2;;;;1;2;2;8;1;1;2;;2;2;1;1;1;1;;;4;4;3;;;;1;;;12;;1;1;8;2;2;2;1;1;1;;;;;;;;1;;;;;;;1;1;1;1;;1;;;;;;;;;;;;
36211-7098;;3;2;1;7;2;12;;;;6;5;2;;3;;1;;1;;;2;1;;1;1;1;1;;2;1;1;;;;1;;2;1;;1;1;1;1;1;1;;1;;;;;;;;;;1;;;1;;;;;;;;;2;;;;1;;;5;;1;4;1;2;1;;;;;;;;;;;;;;;;4;1;;;3;2;2;1;;;;;;;1;1;;;;;2;1;;;;;;;1;;;;;;1;;;1;;;;;
34654-5468;;5;;4;1;5;58;1;;;11;13;1;;16;;3;1;;;;;;;;;;;;;2;;;3;2;1;1;3;;;;;;;2;3;1;6;;5;1;;;;;;;5;1;;1;;1;1;;;;;;3;;;;1;;;;;;;;;;;;;;;;4;3;;;;;;;;9;1;;;;;;;;;;4;3;;;;;;;;;;2;;;;;;7;;;3;1;1;;;;;1;1;1;1;
30749-7118;;8;1;;1;1;25;1;1;1;12;20;1;;18;;2;;;;;2;;;3;3;3;2;;;;;;;;;;2;;2;1;1;1;;1;;;10;;4;;2;2;2;2;;;4;;;1;;;1;1;1;1;;2;3;1;1;1;1;1;1;9;1;2;7;2;5;3;3;3;2;1;;2;2;1;;1;2;1;2;2;;11;;1;1;8;6;5;3;3;3;2;;;;;;1;;;;1;1;1;;;1;;;3;1;1;1;1;;;1;1;1;;;;;
21659-5388;;12;;2;1;3;58;1;1;;25;37;;;10;;;5;1;1;;4;;1;1;1;;;;;1;;;1;1;;;5;;3;;;;;3;1;1;22;1;10;2;5;1;;;;;7;1;1;1;1;4;1;;1;;;1;7;;3;2;1;;;7;;2;1;;;;;;;1;;;4;4;1;;;;1;3;2;19;4;;;5;1;;;;;;1;1;;1;1;1;1;;;;;2;1;;1;;;3;;;2;2;1;;;;;;3;;1;
21380-5714;1;9;;;;;25;1;1;;4;11;;;20;1;;1;2;;1;1;1;;;;;;1;;;;;;;;;5;1;1;;;;;;1;;5;2;2;1;;;;;;1;4;;;1;;1;1;1;1;1;;;1;;1;1;;;;;;;;;;;;;;;;;;;;1;;;1;3;1;4;1;;;;;;;;;;;;;;;2;;;;;;1;;;1;;;5;1;;2;2;1;;;;;;;;;
28102-5388;1;12;;;7;2;36;1;1;;12;11;;;20;1;3;2;3;;;;;;;;;;;;;1;;;;1;1;6;2;;;;;;1;1;;2;;1;;1;1;1;1;;;8;;;;;1;1;1;1;;;;;;;;;;;3;;;3;;3;2;2;2;1;;1;;;;;2;;;;;;7;;;;1;1;1;1;1;1;1;;;;;;;;1;;;;;;1;1;;;2;;;2;2;2;;;2;2;1;1;1;1;
31433-6388;1;8;;;1;2;19;1;2;;3;10;;;2;1;;;;;;2;;;1;;;;;;;;;;;1;;3;;;1;;;;;2;;2;;;;;;;;;;1;1;;;;;1;;1;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;1;1;;2;;;;;;;;;;;;;;1;;;;;;;;1;;;;;;;;;;;;;;;;;;;;
27420-7274;;;;;;;6;;;1;2;3;1;;7;;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;1;1;;;;;;;;;;;;;;;1;;;1;;1;1;1;1;;;;1;;;;;2;;;1;1;1;;;;1;1;1;1;1;1;;;;;;;;;1;1;1;1;;;;1;;;3;;;1;1;1;1;1;1;1;;1;;;
36368-5388;;8;;1;;1;9;;2;;11;9;;;13;;;;4;2;1;;;;3;3;3;3;2;;1;;;;;;1;3;3;;;;;;1;;;1;;;;;;;;;1;2;;;1;1;;;;2;;;;;;;;;;;4;;;3;;3;3;2;2;1;;1;;1;;;2;;;;;;6;;;;4;3;3;3;2;2;1;;;;;;1;;;;;;2;1;;3;2;1;6;1;1;3;1;1;;;;;;;;;
22977-7118;1;8;;1;;1;39;2;9;;32;30;;1;18;1;1;2;1;1;;3;2;;3;2;1;;2;;1;;;1;1;;;2;;;2;1;;;1;2;2;21;;17;1;12;11;9;7;2;1;9;2;1;5;2;1;2;1;9;;2;3;4;;1;1;;2;2;20;2;3;16;2;13;11;8;5;4;;3;1;;;;4;1;;;1;;25;1;1;1;19;16;13;11;8;5;4;;;;3;2;4;3;;;;;5;1;2;6;5;5;10;2;2;4;;;;;;;;1;;1;
30137-7118;1;9;1;;2;2;16;2;2;;11;14;1;2;15;1;;;3;2;1;;;;2;2;;;2;;;;;;;1;;3;;;;;;;1;1;;5;;2;;;;;;1;1;4;1;1;1;;;2;1;2;1;;1;1;;1;;;1;1;1;;;1;;;;;;;;;;2;;;2;;;1;;;7;;1;1;1;1;;;;;;;;;2;1;1;1;;;;;3;1;1;3;1;;4;;;;;;;;;;;;;;
31362-5714;;;;;19;2;10;1;2;;6;5;;;13;;;;;;;;;;;;;;;;;10;7;;;1;;;;;;;;;1;1;1;1;;;;;;;;1;;6;;;3;;;1;1;2;;;;1;;;;1;;;;;;;;;;;;;;;;2;;;;;;;1;;3;1;;;;;;;;;;1;;;1;;;;;;;;;;1;;;;3;;;;;;;;;;;;;;
31420-5468;1;15;;3;17;5;40;1;10;;47;28;;1;18;1;3;5;1;1;;1;;1;4;4;2;1;2;;1;6;4;;;2;;6;1;;1;1;;;2;1;1;11;;10;1;4;2;1;1;;1;6;1;;2;1;4;1;1;10;;2;2;1;;;;;1;1;16;;;7;;5;4;2;2;;;;;;;;2;;;;;;24;1;;;10;5;3;2;1;1;;;;;;;3;;;;;;6;;;5;4;2;8;3;1;5;1;1;;;;1;2;4;2;4;
33695-5388;;5;;;;;18;2;6;;10;12;;2;9;;;;2;;;1;;1;;;;;;;;;;;;;;3;1;1;;;;;;2;;6;;;;;;;;4;1;5;;;2;;;2;;6;2;1;;4;1;2;;1;1;1;2;;1;1;1;;;;;;;;;;;;;;;;2;;5;1;1;1;1;;;;;;;;;;6;4;1;;;;;;1;1;1;;;;3;;;;;;;;;;;;;;
27992-5469;;1;;;;;6;;;;;;;;10;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;4;;;2;;;;;;;;;;;
10127-5469;;6;;;;;25;1;;;3;9;;1;26;;2;;1;;1;1;;;;;;;2;;;;;;;;;1;;;;;;;;;;2;;;;;;;;;;12;1;1;5;2;;1;1;;;;;1;;;;1;;;;;;;;;;;;;;;;1;;;;;;2;1;1;1;1;;;;;;;;;;;;;;;1;;;;;;4;1;;4;;;10;;2;6;4;1;2;;;;;;;;
18672-6398;1;11;1;1;;2;19;1;;;3;8;;;4;1;22;;;;;3;;;;;;;1;1;1;;;1;1;;;3;;;;;;;;;;2;;1;;1;;;;;;2;;;;;;1;1;;;;1;1;;1;1;;;;1;;1;;;;;;;;;;1;;;;;1;;1;2;1;1;;;;1;;;;;;;;;;;;;;1;;;;;;;;;;2;;;;;;1;;;1;;;;;
35994-5468;;4;;1;;1;20;1;1;;14;12;;;4;;1;;1;1;;;;;2;1;1;;2;;1;;;1;1;;;4;;;;;;;;7;4;7;;3;;;;;;;1;1;;;1;;;1;1;1;;;1;;;;;;;;7;1;;2;;1;1;1;1;1;;;;;;;;;;;;;8;;;;4;2;1;1;1;1;1;;;;1;1;1;1;1;;;;2;1;;;;;2;;;;;;;;;;;;;;
35833-5469;1;8;;;;;11;;;;3;4;;;6;1;1;;1;;;;;;1;;;;2;;;;;;;;;3;;;1;;;;;;;;;;;;;;;;;2;;1;;;;;;;;;;;;;;;;;2;;;1;;;;;;;;;1;;;;;1;1;;;;3;;;;2;1;;;;;;;;;;;;;;;;;1;;;3;3;2;2;1;1;;;;;;1;;;;;;
21367-6398;;5;1;;;1;15;;;;3;5;;;7;;1;;;;;2;1;;;;;;;1;;;;;;;;5;;2;;;;;1;;;3;;2;1;;;;;;;4;;;2;2;;;;;;;;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;1;;;;;;;;;;;;;;;;;1;1;;;;;;1;;;5;;1;4;3;2;;;1;;;;;;
36389-5469;;9;1;1;2;3;28;1;1;;7;12;;;22;;;;2;1;1;;;;3;2;;;2;1;1;;;1;1;1;;1;;;;;;;2;1;;2;;1;;;;;;;;9;2;;3;1;;1;1;1;;1;1;;;;;;;;1;;;1;;1;1;;;;;1;;;;;2;;;;1;1;6;;;;;;;;;;;;;;;;2;1;;;;;4;1;;4;2;;11;1;2;4;3;1;;;;;;;;;
32790-6388;;5;;;;3;14;;2;;1;9;;;3;;;;1;1;;1;;;1;;;;;;;;;;;;1;2;;;;;;;3;;;3;;;;;;;;;1;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;1;;1;;;;;;1;;;;;;;;;;;;;;;;;;;;
30708-5468;2;15;4;;;1;23;;1;;4;4;;;18;2;2;;1;;;1;;;;;;;2;4;;;;;;;;5;;;;;4;4;;1;;;;;;;;;;;;6;1;;2;1;;;;1;;1;;;;;;;;;2;;;1;;1;1;1;1;;1;;;2;2;;;;;;;;3;;;;1;1;1;1;1;1;;;;;;;;;;;;;1;;;;;;3;;;1;1;;;;;;;;;;
24091-6398;;5;;1;;5;21;2;1;2;19;22;3;;5;;5;2;2;2;;;;;3;2;1;;;;1;;;1;1;;1;2;1;;1;1;;;2;4;2;14;;9;;7;4;2;1;;;2;1;1;;;;2;2;1;;;1;1;;;;;;;12;1;1;7;1;5;2;;;;1;;2;2;1;;1;3;2;;3;;16;;;;10;5;3;1;;;;;;1;;;1;;;;1;1;1;;;3;2;;;;;;;;;2;2;;2;1;1;1;
36050-5469;;4;;;7;4;25;1;;;9;13;;;19;;3;;;;;;;;1;1;1;1;;;;1;;;;1;1;2;;;;;;;2;1;;6;1;3;1;1;1;1;1;1;;4;;;1;;;1;1;;;;1;3;;1;;;;;5;1;2;4;1;4;4;3;1;1;;;1;;;;;2;2;;2;1;7;1;;;4;3;3;3;2;1;1;;;1;1;;1;;;;;;1;;;1;;;6;;;;;;;;2;;;;;;
36316-5468;2;12;;;;1;32;2;7;1;20;17;1;;17;2;6;3;1;;;4;;1;1;;;;1;;;;;;;;;7;;1;;;;;;1;1;7;;5;;;;;;;;8;3;1;1;;2;2;2;7;2;;;5;3;1;1;1;1;1;2;;1;1;1;;;;;;1;;;5;4;1;;2;1;;2;;14;1;1;1;2;1;;;;;;2;1;2;;;;;1;;;;4;;;2;2;;2;;;;;;2;1;1;;2;3;2;;
15494-5714;;6;;;29;3;18;1;1;;11;16;1;;25;;9;;1;1;;;;;2;;;;;;;10;4;;;1;;3;;;1;;;;;1;;4;1;;;;;;;;1;7;;1;1;1;;1;;1;;;;1;;;;;;;;;;;;;;;;;;;;4;1;;3;;;;4;2;5;1;;;;;;;;;;1;1;;1;1;1;;5;4;;;;;1;3;2;;3;;;2;1;;1;;5;5;;;;;
36634-7098;;14;;4;2;7;57;2;4;1;44;48;;1;28;;10;3;5;1;;2;1;1;3;2;1;1;;;4;;;4;4;1;2;4;2;;;;;;4;1;;31;;23;2;12;7;5;4;2;3;8;1;;1;;;1;1;4;2;;3;7;1;4;4;;1;1;23;2;3;16;2;9;7;6;2;2;2;3;;3;2;1;5;1;;1;;;38;2;;;20;13;7;5;4;1;1;2;2;1;3;2;5;3;3;2;;;2;1;1;5;2;;6;;1;;;;;1;2;1;2;2;2;1;
35640-5388;;7;1;4;1;2;39;;5;;21;16;2;;19;1;3;;2;;;1;;1;;;;;;;2;;;1;1;1;;6;2;1;;;;;1;;;10;;8;;;;;;;;11;;;1;;;;;5;3;;;5;;2;1;2;;;4;;2;2;1;2;1;1;1;1;;;;1;;;;1;;;1;;14;;;;3;2;2;1;1;1;1;1;;1;;;;;1;;1;;;;;1;1;1;3;;1;1;1;;1;;;1;;;;;
35996-5468;;2;;1;;1;17;;;;3;5;;;8;;;;;;;2;1;;;;;;;;1;;;1;1;;;2;;2;;;;;;1;;4;1;2;1;;;;;;;3;1;;1;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;1;;;;;;;2;;3;2;;;;;;;;;;1;;;;;;;;;;;1;;;;;;4;;;2;;;;;;;;;;;
31592-6388;;;;;8;3;5;;;;;;;;3;;;;;;;;;;;;;;;;;2;1;;;1;;;;;;;;;2;;;;;;;;;;;;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;
28026-7118;;12;1;;11;2;48;1;2;;25;23;1;1;29;;;;2;1;;;;;5;3;1;1;1;1;;1;;;;2;;2;;;;;;;1;2;1;10;;9;;4;3;1;1;;;13;;;8;2;;1;;2;;1;3;1;;;;;1;1;14;2;1;7;;2;2;1;;;;;;;;;3;;;;;;14;;1;1;6;4;1;1;;;;;;;;;3;3;;;1;;3;;1;1;;;15;;1;7;5;2;;;;;;;;;
36354-5388;1;11;5;1;8;6;24;;5;;16;16;4;1;15;2;;;2;1;1;1;1;;1;;;;2;3;1;;;1;1;1;;2;;;;;1;1;3;1;;5;;3;;;;;;;1;4;1;;1;;;;;5;1;4;;3;;;;2;;;6;;2;1;;;;;;;1;;;2;2;2;;;;1;1;1;10;;;;2;;;;;;;1;1;;;;1;;;;3;2;4;1;;3;1;;5;1;1;1;1;;;;;;;;;;
22906-7098;1;12;;;;1;27;1;2;;6;11;;;23;1;2;;;;;1;1;;2;2;1;;2;;;;;;;;;5;;;1;1;;;;1;;1;;1;;1;;;;;;9;1;;2;;;1;;2;1;;1;2;1;;;;;;2;;;;;;;;;;;;1;;;;;2;;;;;3;;;;2;;;;;;;;;1;1;;4;2;;;;;3;;1;5;;;7;;1;2;1;;1;;;;;;;;
36899-5388;;12;;;;2;27;2;5;;13;11;;1;10;;8;2;5;2;1;1;1;;3;;;;2;;;;;;;;1;8;4;;;;;;;;;4;;2;;;;;;;;5;1;;1;1;1;2;2;5;;2;;;;;;;1;1;7;;;1;;1;1;1;;;;;2;;;;;4;1;;;;5;;;;2;;;;;;;;;;;;2;;4;3;;;2;;;2;1;;1;;1;1;;;;;4;2;;2;;1;
