aluno;1>;2>;3>;5>;6>;7>;8>;14>;16>;17>;29>;30>;31>;32>;38>;41>;46>;48>;49>;2>2>;2>2>31>;2>14>;2>14>2>;2>14>31>;2>14>41>;2>31>;2>31>30>;2>31>30>30>;2>41>;3>2>;5>5>;6>6>;6>6>6>;7>5>;7>5>5>;7>6>;7>14>;7>31>;14>2>;14>2>2>;14>2>14>;14>2>31>;14>2>31>30>;14>2>41>;14>3>;14>3>2>;14>7>;14>7>5>;14>14>;14>14>31>;14>31>;14>31>14>;14>31>30>;14>31>30>14>;14>31>30>30>;14>31>30>30>30>;14>31>30>30>30>30>;14>31>30>30>30>30>30>;14>31>30>31>;14>31>31>;14>31>41>;14>32>;14>41>;14>41>2>;14>41>31>;14>41>41>;14>41>41>41>;14>49>;14>49>49>;16>31>;16>31>30>;17>30>;17>30>14>;17>30>30>;17>30>31>;30>2>;30>14>;30>14>2>;30>14>31>;30>14>31>30>;30>14>41>;30>17>;30>17>30>;30>30>;30>30>2>;30>30>14>;30>30>30>;30>30>30>14>;30>30>30>30>;30>30>30>30>30>;30>30>30>30>30>30>;30>30>30>30>30>30>30>;30>30>30>30>30>30>30>30>;30>30>31>;30>30>48>;30>31>;30>31>30>;30>31>30>30>;30>41>;30>48>;31>2>;31>14>;31>14>41>;31>30>;31>30>14>;31>30>30>;31>30>30>30>;31>30>30>30>30>;31>30>30>30>30>30>;31>30>30>30>30>30>30>;31>30>30>30>30>30>30>30>;31>30>31>;31>30>31>30>;31>30>41>;31>30>48>;31>31>;31>31>30>;31>41>;31>41>41>;31>48>;32>31>;32>31>30>;41>2>;41>7>;41>14>;41>31>;41>31>30>;41>41>;41>41>2>;41>41>31>;41>41>41>;41>41>41>41>;48>14>;48>29>;48>30>;48>48>;48>48>48>;49>48>;49>49>;49>49>48>;49>49>49>;
31481-4604;;8;;1;8;4;1;30;1;1;;12;17;;;17;;4;;1;;1;;;1;;;;;;1;3;1;1;1;1;;;5;;;;;;;;1;;1;;3;1;2;;;;;;;;;;9;;;1;;;;1;1;1;;;1;;1;;;;;;;3;;;3;;2;2;2;1;;2;;3;2;1;;;;3;1;8;;3;3;2;2;2;1;;;;;;;;;;;;1;1;;;;3;;;1;;;;;3;2;;;;;
28454-4605;2;21;;;;;;45;2;;;12;26;;;17;2;3;;2;;;;;;;;;;;;;;;;;;;8;1;;;;;;;;;1;;17;1;6;;1;1;;;;;2;;6;;;1;;;;2;1;;;;;3;1;;1;;;;;3;;1;2;1;1;1;1;1;;;;1;1;1;4;;2;3;1;12;;3;2;1;1;1;1;;;3;;1;1;3;;;;;1;;;2;2;4;;;2;1;1;;;;;;;;;
18187-4605;;11;;5;9;4;;41;1;2;;13;21;;2;16;;12;10;4;2;;;;;4;;;1;;3;2;1;2;2;2;;;3;2;;;;;;;3;1;1;;8;;3;;2;1;1;1;;2;;;6;1;;1;;5;4;1;;2;;1;1;;2;;;;;;;8;;1;5;;4;3;2;1;1;;;1;1;;;;1;;;6;;3;2;2;2;2;1;;;;;4;1;5;1;;;;3;;;1;1;5;1;;1;;;;;;;6;6;4;2;
36337-5469;1;18;10;;7;2;;39;4;3;;16;24;10;;19;1;2;;3;1;3;;;;2;1;1;2;9;;2;1;;;2;;;2;;1;;;;5;4;2;;3;;6;;3;;2;1;1;1;;;;5;5;;;2;1;;;4;1;3;;;;;3;1;;;;2;2;6;;1;4;1;2;2;2;1;1;;;;;;;;;;;10;2;5;3;2;2;2;1;;;;;3;1;1;;1;9;4;;;2;;;4;;;1;;;;2;;;;;;;
15217-7098;1;7;4;;;1;;16;2;3;;12;12;1;2;4;1;;;1;1;1;;1;;2;2;;;1;;;;;;;;;4;;1;1;1;;3;1;1;;;;4;;4;;3;1;;;;;;1;;;;;;;;2;;3;1;;1;;2;1;;;;1;1;6;;1;2;;1;;;;;;;2;1;;;;1;2;;10;;6;2;1;;;;1;;;;1;1;2;1;;1;1;;;;1;1;1;;1;;;;;;;;;;;;
36466-7118;;6;;1;;1;1;8;1;4;;15;14;;1;15;;;;1;;;;;;;;;2;;1;;;1;1;;;;2;1;;;;;;;;;;;4;;3;;;;;;;;;;;;;;;;;1;1;4;;1;;;;;;;;1;1;2;;;1;;;;;;;;;1;1;;;;1;;;8;;1;1;;;;;1;1;;;1;;2;;;;;;;;1;1;2;;;;;;;;;;;;;;
35981-5388;;8;;;8;2;;40;1;5;;24;33;;1;4;;3;1;;;;;;;1;1;;;;;;;;;1;;;5;;;1;1;;;;1;;;;28;;13;;4;1;;;;1;;;2;;1;;;;;1;1;5;;2;;1;1;;1;1;;1;1;8;1;;4;;2;1;1;;;;1;;;;;1;1;;;15;;4;1;;;;;;;;;1;;;;1;;;;;;1;;;;;;;;;1;;;;1;;1;
25130-4130;;3;;;;1;;12;1;;1;8;10;1;;15;;10;;;;;;;;;;;1;;;;;;;;;;2;;;;;1;;;;;1;;4;;;;;;;;;1;;1;3;;1;;;;;1;1;;;;;;1;;;;;;;4;;;1;;;;;;;1;2;1;;;1;2;;;;4;1;3;1;;;;;;;;;1;;;;4;;;1;;;3;3;2;;2;1;;2;1;5;2;2;;;;;
36435-7118;1;25;;2;6;7;;50;2;7;;39;31;;1;34;1;5;;9;2;;;;;6;3;1;1;;1;;;2;1;1;1;;11;4;;3;1;;;;4;1;1;;11;;8;;1;;;;1;1;;;10;2;1;3;1;;;2;1;6;;1;;1;1;;;;;1;1;7;;;2;;;;;;;;1;1;;;3;2;;1;;20;1;2;;;;;;1;;2;;2;1;1;;1;;;3;1;1;2;2;9;;;3;1;;;1;;;;;;;
30983-4604;1;8;;;10;2;;31;1;;1;13;16;1;;25;1;5;;1;;1;1;;;1;1;;1;;;3;1;;;1;;;4;;;;;;;;1;;1;;6;;2;;2;;;;;;;;8;;3;2;;;;1;;;;;;2;2;;;;;;;4;1;;2;;1;;;;;;1;;;;1;1;;1;;6;1;3;1;1;;;;;;1;;;;1;;4;;;;;2;6;2;8;;;1;;1;1;3;;;;;;;
35890-5468;1;11;;;7;2;;70;;4;;52;52;;3;20;1;4;2;2;;3;;2;;;;;1;;;;;;;1;;;6;1;1;;;1;;;;;1;;42;;35;;19;9;4;2;1;2;;;12;1;4;1;;2;1;;;4;1;;1;4;9;1;3;3;2;1;1;28;3;6;12;4;6;4;1;;;;1;2;2;2;3;1;;1;;43;1;25;11;5;3;1;;1;1;;;2;2;;;2;;;1;;1;5;1;2;;;;;1;;1;;;1;1;1;;
28169-4605;2;11;;;1;1;;36;1;2;;13;24;;;21;2;2;1;2;2;3;1;1;;3;3;1;;;;;;;;;;;3;1;1;;;;;;;;6;4;16;11;7;;;;;;6;1;2;;5;;;1;;;;1;1;2;1;;1;1;2;;;;;;;1;;;;;;;;;;;;7;6;;;;;12;;12;1;1;;;;;;6;5;;;1;;2;;1;;;1;1;;;;3;;;1;;1;;;;;1;1;;1;
36267-5468;;5;4;1;;3;2;21;;1;;5;6;;;4;;1;1;;;;;;;;;;;2;;;;;;;;;1;;;;;;2;1;1;;;;1;;;;;;;;;;;;3;;1;;;;;;;1;;1;;;2;1;;;;;;2;;1;;;;;;;;;;;;;;;;1;1;2;;1;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;1;1;;;1;;;
30801-4130;;9;3;;12;4;;27;1;;2;7;8;1;;15;;7;;1;;;;;;;;;2;1;;1;;;;;;;4;1;;;;;3;1;1;;1;;;;;;;;;;;;;;8;1;;2;;;;1;;;;;;;2;1;;;;;;3;;1;2;1;1;;;;;;;;;;;2;1;;;3;1;1;1;1;;;;;;;1;;;1;;1;1;1;1;;;;;2;;;;;;1;2;3;;;;;;
35760-5469;;7;1;3;2;5;;31;1;2;5;26;25;;;28;;19;;1;1;;;;;3;1;1;2;;2;1;;3;2;1;;1;2;;;;;1;1;;1;;1;;11;;5;;1;;;;1;1;;;4;;;1;;;;1;1;2;;1;;;1;;;;;1;1;11;;1;5;;4;3;3;3;2;2;3;4;2;1;;9;1;;;15;;5;3;3;2;2;2;1;;;7;1;1;1;1;4;;;2;1;2;2;2;8;;1;5;2;1;5;2;8;4;;;;;
36004-7118;;10;2;;;1;;18;2;4;;18;19;;;15;;2;1;;;;;;;;;;1;;;;;;;;;1;4;;;;;;;;;;1;;7;;4;;4;2;1;;;;;;8;;2;1;;;;2;2;4;;3;1;;1;1;;;;1;1;12;;1;7;1;4;3;1;1;1;3;;6;4;1;3;;;4;1;14;;8;5;2;1;;;5;3;;;;;1;;2;;;2;;;3;1;2;;1;1;1;1;;;2;;;1;;1;
31221-4605;;8;1;;19;2;;27;1;;;14;15;1;;13;;11;3;2;;;;;;2;2;1;2;1;;6;2;;;2;;;4;1;;2;2;1;;;2;;2;1;5;;3;;;;;;;;;1;4;;;1;;3;1;1;;;;;;;;;;;;;;3;;;2;;1;;;;;1;;2;2;;;2;;;;9;;3;2;1;;;;1;1;;1;1;;2;;1;1;1;;;;1;;4;;1;2;1;1;;1;4;2;3;1;1;;
31239-7118;;4;;2;;2;;27;1;4;;23;19;;;6;;1;3;;;2;;;;1;1;;1;;2;;;2;2;;;;2;;1;;;1;;;1;1;2;;16;;11;1;8;5;5;3;;;2;;3;;;1;;2;2;1;1;4;1;;;1;5;1;1;;1;;;12;;2;6;1;6;3;3;2;2;;;;;;2;;;;;17;2;10;6;6;3;3;2;;;1;;;;2;1;;;;2;;;2;2;2;2;;;;;;;;;1;3;1;2;
18267-4130;;12;1;1;;1;;21;1;1;;6;12;;;11;;1;2;2;;1;1;;;2;1;;1;;1;;;1;1;;;;6;1;;2;1;1;;;1;1;1;;3;1;;;;;;;;;;;6;;;2;;2;;1;1;1;;;1;1;1;1;;;;;;1;;;;;;;;;;;1;5;5;1;;1;;1;;6;1;1;;;;;;4;4;;;1;1;;;;;;2;;;;;2;1;;;;;;;;;;;;;
21788-5469;;8;;1;;1;;15;;;;10;12;;1;12;;2;;1;;;;;;3;2;;1;;1;;;1;1;;;;3;1;;2;1;;;;1;1;1;;5;;1;;;;;;;;1;;;;;;;;;;;;;;;1;;;;;;;;5;1;;4;;2;1;1;;;;;;;;2;1;;;;7;;3;2;;;;;;;;1;1;1;2;1;1;;;1;;;1;;1;;;;;1;;2;2;2;;;;;
26702-4605;;20;3;2;47;6;;103;2;10;;51;70;;5;42;;22;24;4;;2;1;;1;2;1;;2;;1;15;5;2;;2;2;;7;2;;2;1;;1;;2;1;1;1;41;;20;1;2;1;1;1;2;4;3;;13;;1;6;1;17;1;2;2;10;1;4;;;7;;1;1;;;;10;;2;1;;1;1;;;;1;;5;4;;2;3;4;3;1;36;3;4;1;1;1;;;4;3;2;2;7;1;9;;2;;;2;;1;3;1;11;;1;2;;2;;2;6;1;7;2;1;1;
13342-5468;1;6;;;11;3;;26;2;12;;27;13;;;5;4;9;;;;2;1;1;;;;;1;;;1;1;;;;1;;4;;1;;;1;;;3;;;;9;;7;;;;;;1;;;;3;;;1;;;;2;2;11;2;1;;;4;1;1;1;1;4;4;4;;1;;;;;;;;;;2;2;;;;;1;;10;;1;;;;;;2;2;;;;;;;;;;1;;;;;2;;;;;1;;;3;1;;;;;
31283-4605;;10;1;;10;2;;40;1;;1;10;13;;;21;;9;3;;;1;1;;;;;;;;;1;;;;2;;;3;;1;;;;;;2;;1;1;7;1;5;1;;;;;;;;;10;;;;;2;2;1;;;;;;1;1;;;;;;;1;;;;;;;;;;;;;;;;;;1;;8;1;1;;;;;;;;;;;;;;;;;1;;;;;3;1;;;;1;1;;1;;3;3;3;;
36253-7098;;23;;;33;2;;51;3;12;1;48;43;;1;24;1;3;;6;3;2;;2;;6;4;2;3;;;21;14;;;1;1;;12;2;;4;3;1;;;1;;2;;16;;15;1;7;6;3;2;1;1;;;5;;;1;;;;3;3;12;3;1;1;2;10;4;2;1;;2;2;20;1;3;15;3;10;8;6;3;2;2;1;5;2;2;1;2;1;1;1;33;3;17;13;9;7;5;3;3;2;;1;5;2;4;1;1;;;;;;3;2;6;;1;1;;;1;2;;;;;;;
35955-5468;;8;;;;;;26;1;;;7;7;1;1;8;;4;;;;1;;;1;;;;;;;;;;;;;;2;;1;;;;;;;;;;3;;2;;;;;;;;;;5;1;;1;;;;1;;;;;;;2;;;;1;;;;;;;;;;;;;;;;;;;1;;;;3;;;;;;;;;;;;;;;;1;1;1;1;;;;;2;;;1;;;;;;;;;;;
30879-4604;;2;2;;1;1;;8;;;;2;3;2;;2;;2;4;;;1;;;;;;;;1;;;;;;1;;;;;;;;;1;;1;;;;2;1;1;1;;;;;;;;;1;;;;;1;;;;;;;;;1;;1;;;;;;;;;;;;;;;;;;;;;;;1;;2;1;;;;;;;;;;;1;1;;;1;;;;;;;;1;;;1;1;;;1;;;1;1;;;
32724-5469;;5;;;5;2;;18;1;;;5;6;4;;18;;;;;;3;;;3;;;;;;;1;;;;;;;3;;2;;;;;;2;;;;3;;3;;;;;;1;;;1;5;1;;1;1;;;1;;;;;;;1;;;;1;;;;;;;;;;;;;;;1;1;;;;;;;4;1;;;;;;;1;1;;;;;;;;2;1;2;;;;;6;;;2;;;;;;;;;;;
30991-5468;;8;1;;3;1;;16;1;6;;19;10;2;;13;1;;;;;;;;;3;2;1;;;;1;;;;;;;2;;;1;1;;;;1;;;;2;;1;;;;;;;1;;;5;3;;;;;;1;1;5;1;1;;;2;;;;2;1;1;6;;;1;;1;;;;;1;;2;2;1;;;;;;7;1;3;1;1;;;;1;1;;;1;;;;;;;4;;;2;1;2;;;1;1;;;;;;;;;;
271-7274;;2;;;4;1;;12;1;;;5;8;1;;15;;4;;;;;;;;;;;;;;;;;;1;;;1;;;;;;;;1;;1;;2;;;;;;;;;;;;6;;;3;;;;1;1;;;;;;2;1;;;1;;;2;;;1;;1;1;;;;;;;;;;;;;;2;1;1;;;;;;;;;;1;;1;;2;;;1;;;3;1;6;1;2;;;;;1;3;1;;;;;
36252-7118;1;7;;1;2;2;;18;1;4;;16;14;;;9;1;1;1;;;1;;1;;;;;;;1;;;1;1;1;;;5;;1;;;;;;1;1;2;1;9;1;8;2;2;1;1;;1;1;;;3;;;2;1;;;1;1;4;1;3;;;7;3;2;2;2;1;1;6;;2;1;1;1;;;;;;;1;1;;;;;1;;11;5;3;1;1;;;;1;1;;;1;1;;;;;;;;1;1;1;2;;1;1;;;;;;;1;;;;
36373-5469;1;13;;2;1;4;1;45;1;;;11;16;;;29;1;;2;;;4;;2;;1;;;;;2;;;2;2;;1;;5;;1;;;;;;2;;3;1;7;;3;;;;;;;;;;10;1;1;;;1;1;1;1;;;;;;1;;;;;;;3;;;2;;1;1;;;;;;1;1;;1;;;2;;7;;1;1;;;;;1;1;;;;;;;;;;1;;1;2;1;3;;1;1;1;;;;;;;2;;1;
31179-4605;;12;;3;;2;1;30;1;;;10;18;1;;16;;;2;;;1;;1;;2;1;;4;;1;;;2;1;;;;3;;;;;1;;;1;1;1;;9;;4;1;2;;;;;;;1;7;1;1;1;1;2;1;1;1;;;;;;1;;;;1;;;4;;;;;;;;;;;;;;;1;;3;;;10;1;4;;;;;;;;;;1;1;;;;;;4;;;2;2;2;;;1;;;;;;;;1;;1;
22189-4604;;8;;3;;3;;19;1;;;15;11;;;9;;1;3;;;1;1;;;2;;;1;;2;;;3;2;;;;4;;1;;;1;;;2;2;;;3;;3;;2;1;;;;;;;5;;;;;1;1;1;1;;;;;1;1;;1;1;;;;9;;1;1;;;;;;;;;2;1;1;;;;;;7;;5;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;2;;1;
21251-5469;;3;;;7;3;1;11;2;;1;2;5;;;12;;6;;;;1;;1;;;;;;;;1;;;;1;1;;;;;;;;;;1;;;;2;;;;;;;;;;;;3;;;;;;;2;1;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;1;;2;;1;;;;;;;;;;1;;;;;;;;1;;;;1;;;;;1;1;;3;;;;;;
17604-4130;;5;;3;1;9;;102;1;2;;22;42;1;;15;;14;10;2;;3;2;;;;;;;;1;;;1;1;1;1;;4;2;;;;;;;5;1;7;1;30;1;13;3;5;5;3;2;;;1;1;8;1;1;3;;7;2;1;1;2;;;1;;5;;1;1;1;;;7;;1;7;1;3;2;1;;;1;;3;;;;1;;5;;15;4;6;6;3;2;1;;;;;1;;;2;1;1;;;1;;2;2;1;5;1;;1;;2;;;7;3;7;2;1;2;
36274-7098;;8;;;8;5;;14;1;4;;12;15;;1;23;;3;1;1;;1;;1;;1;1;;1;;;3;1;;;2;;;2;1;;1;1;;;;;;1;;4;;4;1;1;;;;;;;;2;1;;;;;;1;1;4;;2;;;1;;;;1;1;1;5;;;4;;2;1;;;;;;;;;1;;1;;;8;1;3;2;1;;;;;;;;;;2;;2;;;2;1;;1;1;5;1;;1;;;;1;;;;;;;
36387-5388;;9;1;;27;3;;33;1;3;;19;21;5;;19;;3;1;1;;2;;1;1;;;;;;;5;2;;;2;1;;5;1;2;;;;;;2;;3;;13;;9;1;7;3;2;2;2;;;;12;;1;2;1;1;;1;1;3;;3;;;6;1;5;4;1;;;16;;2;7;1;4;3;;;;8;;9;6;3;;;;6;4;15;5;12;6;4;3;;;3;3;;;;;;;;;;;;2;1;;3;;;1;1;1;;1;1;;;;;;
28245-5468;1;5;;;1;2;;14;1;;;1;5;;;4;1;;;2;1;;;;;4;;;1;;;;;;;1;;;1;1;;;;;;;2;;;;;;;;;;;;;;;;1;;;;;;;1;;;;;;;;;;;;;;1;;;;;;;;;;1;;1;;;;;1;1;;1;;1;;;;;;;;;;;;1;;;;;2;;;;;;;;;;;;;;;;;;;
31519-4605;1;29;1;;3;3;;44;1;;;23;25;;;27;1;;;5;;2;1;;;2;2;1;4;1;;;;;;1;;;7;;;1;1;1;1;1;2;;;;11;;5;;1;;;;;1;1;;8;;;2;;;;1;;;;;;1;1;;1;;;;;6;1;1;2;1;;;;;;;;1;1;;1;;1;4;3;12;;3;2;;;;;;;1;;2;1;2;;;;;;;;1;;5;;;;;;;;;;;;;;
33661-4130;1;6;8;;;3;;14;1;;;5;9;5;;11;1;;;2;;1;;;;;;;1;5;;;;;;;;2;;;;;;;4;3;1;;;;2;;1;;1;;;;;;;4;;;;;;;;1;;;;;;1;;;;;;;;3;1;;1;;;;;;;;;;;;1;;;;;5;;3;1;;;;;;;;;;;1;;;;;1;2;;1;1;3;;;;;;;;;;;;;;
31344-4605;1;15;;4;7;9;;33;1;6;1;26;29;;;8;1;5;1;4;1;2;1;;1;3;2;1;;;3;2;1;2;2;;1;4;3;;1;;;;;;5;1;;;18;;8;;6;3;3;2;1;4;1;;5;1;1;1;1;;;1;;6;2;4;;1;6;;4;3;1;1;1;21;1;4;12;2;9;7;5;3;3;1;1;3;1;1;3;2;3;1;;19;;15;9;7;5;5;3;1;;1;1;8;4;1;1;;;;3;;1;1;1;5;2;;3;2;1;1;;;;;;;;
30990-4604;1;10;;;3;2;1;33;1;;;8;10;;;33;1;2;;;;3;1;;1;;;;1;;;;;;;2;;;3;;;;;;;;2;;2;;;;;;;;;;;;;;11;;1;1;1;;;1;1;;;;;;2;;;;;;;4;;;1;;;;;;;1;;1;1;;;;;2;;3;1;1;;;;;;1;1;;;;;;;;;;1;;;1;;5;;;3;2;;;1;1;1;;;;;
31640-4605;1;9;;1;;3;;13;1;;;1;7;;;8;1;;;1;;;;;;;;;2;;1;;;1;1;;;1;5;1;;;;;;;2;;1;;;;;;;;;;;;;;4;1;1;1;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1;;;;;;;;;;;;;;1;;;;;1;;;1;;1;;;;;;;;;;;;;;
22222-4130;;13;2;;;;;28;2;1;;11;14;;;7;;;;;;6;;1;2;;;;;1;;;;;;;;;7;;1;;;;1;;;;2;;7;;6;;4;3;2;;;;1;;6;1;1;3;;;;2;2;1;;1;;;5;1;;;;;;6;;3;3;2;2;;;;;1;;1;;;;;;1;;10;2;5;3;2;;;;;;;;1;1;2;;;;;1;;;3;1;3;;2;;;;;;;;;;;;
34850-4130;;8;;2;12;3;;34;;2;;11;11;1;;13;;4;;2;;1;1;;;;;;;;2;4;2;2;2;1;;;5;1;;;;;;;1;;2;;6;;6;;1;;;;;;;;5;;1;1;;;;;;2;1;;;;4;1;1;1;;;;2;;;1;;1;;;;;;;;;;;;;;;8;2;2;1;1;;;;;;;;1;;1;1;1;1;1;;2;;2;1;4;;1;1;1;1;;;2;;;;;;
31915-5468;1;9;1;1;;1;;24;1;1;;21;17;1;;16;1;10;;1;;1;;;;;;;1;1;;;;1;;;;;4;1;;;;1;;;;;;;4;;2;;1;;;;1;;;;3;;;1;1;;;1;;1;;;1;2;3;1;;;1;1;1;9;1;1;4;1;1;1;1;1;;;4;2;1;;2;7;;1;;10;2;4;1;1;1;1;1;1;1;;;;;;;1;;;1;;;3;3;2;1;1;1;1;1;;3;5;3;;;;;
31513-4605;;12;;2;;1;;23;2;3;;15;17;;;8;;1;2;3;1;;;;;6;5;2;2;;1;;;;;;;;6;2;;2;2;;;;;;;;7;;5;;;;;;;;;;2;;;2;1;;;2;;3;1;;;3;3;;;;1;;;2;;;1;;;;;;;;;1;;;1;;;;;12;1;2;1;;;;;1;;;;3;1;;;;;;1;;;2;;4;1;2;2;2;;;;;;;2;;1;
27708-4605;;6;;;;1;;15;1;1;;12;13;;;14;;7;;3;;1;1;;;1;1;;1;;;;;;;;;;1;;;;;1;;;1;;2;;8;1;3;;;;;;1;1;1;;4;1;;1;1;;;1;1;1;;;;;1;;1;1;;;;3;;;1;;;;;;;;3;1;;;;6;;1;;7;1;1;;;;;;1;;;2;3;1;3;1;;;;3;;;1;;4;;;2;1;;;2;4;2;;;;;
26983-4605;;2;;;;;;5;1;;;1;5;;;4;;;;;;;;;;;;;1;;;;;;;;;;1;;;;;1;;;;;;;2;;;;;;;;;1;;;2;1;;;;;;1;;;;;;;1;;;;1;;;1;;1;1;1;;;;;;;;;;;;;;;;1;;1;1;;;;;;;;;1;1;;;;;;1;;;1;;;;;;;;;;;;;;;;
28132-5468;;5;;;;;;16;2;2;;7;9;;;10;1;1;;;;1;;;1;;;;1;;;;;;;;;;2;;;;;;;;;;1;;4;;4;;;;;;2;;;;7;;;;;;;2;;2;1;;;;2;1;;;;1;1;2;;1;;;;;;;;;;3;3;;;1;;2;1;6;;2;;;;;;3;3;;1;;;;;;;;1;;;;;1;1;;;;;;;;;;;;;
33260-4604;2;11;;;;1;;31;1;1;;5;11;;;21;2;2;;2;1;2;;1;;1;1;1;1;;;;;;;;;1;6;1;1;;;;;;;;1;;3;;2;;;;;;;;;;8;1;1;4;1;;;1;;1;;1;;;1;;;;1;;;2;;1;;;;;;;;;;;;;1;;;;;4;;1;;;;;;;;;;;;2;1;2;;;1;1;;4;1;7;;1;4;1;1;;;;;;;;;
31233-4605;;;2;;;;;2;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27328-4130;;9;6;;1;1;;20;1;6;;20;19;8;;4;2;1;;1;;4;;2;1;1;1;1;1;3;;;;;;1;;;6;;;1;1;1;4;2;1;;;;8;;7;;1;1;1;1;;;1;2;1;;;;;;;1;;6;1;;;;2;;;;;4;4;5;;1;2;1;1;1;;;;;;;;;;;;;;16;;3;2;1;1;;;;;;;1;1;1;1;;5;4;;;;1;;2;;1;;;;;;;;;;;;
31161-4605;;16;1;;6;11;3;43;2;1;1;26;27;3;;28;;5;2;5;;2;;1;;1;1;;1;1;;1;;;;2;6;1;7;2;2;;;;;;5;;9;2;17;3;9;5;1;1;1;1;1;;;;5;1;;1;;2;2;2;2;1;1;;;1;9;2;2;2;1;;;6;;;3;;3;2;1;;;;;1;1;;1;2;;4;2;15;7;3;2;2;1;;;1;1;1;1;1;;1;;;1;1;1;1;;1;1;10;;1;3;1;2;1;1;1;;1;2;1;1;
31980-4604;;7;;;1;2;;27;1;4;;14;16;;;8;;;;;;1;;;;1;1;1;;;;;;;;;;;2;;;1;1;;;;2;;;;8;;5;;1;;;;;;1;;3;;;;;;;1;1;4;;;3;;;;;;;;;4;;;2;;2;;;;;;;4;1;;;;;2;;11;;3;1;1;;;;2;;;;;;1;;;;;;;;;;1;;;1;;;;;;;;;;;
15432-5469;;10;;;9;4;3;42;1;1;;13;18;3;;10;;5;;2;;2;1;;;1;;;1;;;;;;;1;;2;4;1;1;;;1;;;1;;2;1;12;1;3;2;;;;;;;1;2;7;2;;2;2;;;1;1;1;1;;;;4;;2;;1;;;2;;;;;;;;;;;;;;;;1;2;1;1;7;3;;;;;;;;;;1;;;1;;;1;;2;;1;1;1;3;;1;2;2;2;;1;1;;;;;;
31068-7118;;6;1;;7;1;;21;1;4;;17;15;;;4;;7;;3;;;;;;;;;;;;3;;;;1;;;4;2;;;;;;;1;;;;6;;5;;;;;;;;;;2;;;1;1;;;1;1;4;2;;;;3;2;2;2;1;2;2;3;;1;2;;2;1;1;;;;;1;;;1;3;;;;11;;2;2;2;1;1;;;;;3;2;1;;;2;;;1;;;2;1;2;;2;2;1;;;;;;;;;;
30776-4605;;16;7;2;8;6;;62;;1;;24;31;4;2;18;;15;4;;;9;1;2;;1;;;;5;;;;2;;;1;1;9;;4;;;;3;2;3;1;6;;13;3;8;1;1;;;;;;1;2;8;1;;3;2;4;3;;;1;;;;;4;1;2;2;;;;2;;;;;;;;;;;;2;1;;;1;;5;;20;3;2;;;;;;2;1;;1;;;1;;1;2;;1;;;1;1;6;1;;3;1;4;;1;5;;3;3;2;1;
36375-7098;;6;;;12;2;;22;1;6;;26;19;;;5;2;;;;;;;;;2;2;;;;;6;4;;;;;;2;;;;;;;;2;;;;14;;12;;2;1;;;;2;;;2;;;;;;;1;1;5;;;;2;1;1;;;;1;1;7;;;4;;2;2;1;1;1;;;;;;;;;;;18;1;5;3;2;2;1;1;;;;;2;1;;;;;;;;;;;1;;;;;;;;;;;;;;
29626-4605;;1;;1;;2;;5;;1;;2;3;1;;2;;;;1;;;;;;;;;1;;1;;;1;1;;1;;;;;;;;;;1;;;;1;;;;;;;;;;;1;;;;;;;;;;1;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1;;1;;;;;;;;;;;;;;;1;1;;;;1;;;;;;;;;;;;;;;;
29497-5469;;6;1;1;3;3;;22;1;;;12;17;;;14;;3;1;1;;;;;;2;2;1;4;1;;1;;1;;;;;4;1;;1;1;2;1;1;;;1;;7;;3;;2;1;;;;;1;;8;;;2;;;;1;1;;;;;;2;;;;1;;;4;;1;3;1;;;;;;;;;;;;;;;;10;;3;2;;;;;;;;;;;1;;1;;;4;1;1;1;;3;;;;;;;;;;1;1;1;1;
36030-7118;;8;;;3;2;;29;2;6;;21;27;2;;11;;2;;;;;;;;1;1;;1;;;1;;;;1;;;5;;;;;1;;;1;;3;1;11;;7;2;2;2;1;;;1;;;5;;;2;;;;2;1;6;3;;1;;7;3;2;1;;4;4;4;;;2;;1;;;;;;;2;2;1;;;1;2;;18;4;4;2;1;;;;1;1;;;2;2;1;;1;1;1;1;;;1;;4;;1;2;;;;1;;;;;;;
24986-5469;1;11;;1;;1;;23;1;;;10;9;;;24;1;14;;1;;1;;;;2;1;;1;;1;;;1;1;;;;3;;;;;1;;;;;;;1;;1;;;;;;;;;;9;;;2;;;;1;;;;;;1;;;;;;;;4;;;;;;;;;;;1;;;;;1;1;;;4;;1;;;;;;;;;;;;1;;;;;;;;;;5;;;;;12;;;;;;;;;
